{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.OGBN_PRODUCTS: 'ogbn-products'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.5,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.001,
    'model_type': <ModelType.GATV2: 'GAT-V2'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 600,
    'num_of_layers': 3,
    'num_of_runs': 1,
    'num_workers': 2,
    'patience_period': 30,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 10,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: ogbn-products

Run 01:

Epoch 01| Loss: 0.9555| Acc: 0.7617| Train Time: 246.3401s
Epoch 02| Loss: 0.5626| Acc: 0.8519| Train Time: 142.0806s
Epoch 03| Loss: 0.5127| Acc: 0.8638| Train Time: 131.2921s
Epoch 04| Loss: 0.4870| Acc: 0.8696| Train Time: 130.5388s
Epoch 05| Loss: 0.4663| Acc: 0.8748| Train Time: 129.9116s
Epoch 06| Loss: 0.4547| Acc: 0.8773| Train Time: 132.6429s
Epoch 07| Loss: 0.4445| Acc: 0.8801| Train Time: 128.9401s
Epoch 08| Loss: 0.4354| Acc: 0.8813| Train Time: 129.2809s
Epoch 09| Loss: 0.4277| Acc: 0.8833| Train Time: 130.7101s
Epoch 10| Loss: 0.4223| Acc: 0.8851| Train Time: 134.5342s
Train: 0.9067| Val: 0.8995| Test: 0.7719| Eval Time: 8367.8660s
Epoch 11| Loss: 0.4299| Acc: 0.8824| Train Time: 249.7213s
Epoch 12| Loss: 0.4189| Acc: 0.8855| Train Time: 220.8126s
Epoch 13| Loss: 0.4116| Acc: 0.8871| Train Time: 220.5447s
Epoch 14| Loss: 0.4069| Acc: 0.8884| Train Time: 206.2870s
Epoch 15| Loss: 0.4013| Acc: 0.8905| Train Time: 130.4653s
Epoch 16| Loss: 0.4011| Acc: 0.8902| Train Time: 130.3827s
Epoch 17| Loss: 0.3962| Acc: 0.8915| Train Time: 133.2938s
Epoch 18| Loss: 0.3923| Acc: 0.8919| Train Time: 195.3093s
Epoch 19| Loss: 0.3925| Acc: 0.8927| Train Time: 221.0736s
Epoch 20| Loss: 0.3880| Acc: 0.8931| Train Time: 220.0073s
Train: 0.9214| Val: 0.9155| Test: 0.7956| Eval Time: 8404.7069s
Epoch 21| Loss: 0.3844| Acc: 0.8940| Train Time: 216.2949s
Epoch 22| Loss: 0.3822| Acc: 0.8943| Train Time: 128.5715s
Epoch 23| Loss: 0.4003| Acc: 0.8901| Train Time: 129.8502s
Epoch 24| Loss: 0.3838| Acc: 0.8943| Train Time: 131.1418s
Epoch 25| Loss: 0.3795| Acc: 0.8950| Train Time: 130.4482s
Epoch 26| Loss: 0.3784| Acc: 0.8947| Train Time: 130.3574s
Epoch 27| Loss: 0.3772| Acc: 0.8953| Train Time: 130.9448s
Epoch 28| Loss: 0.3732| Acc: 0.8969| Train Time: 128.6446s
Epoch 29| Loss: 0.3733| Acc: 0.8963| Train Time: 128.1311s
Epoch 30| Loss: 0.3719| Acc: 0.8973| Train Time: 129.2109s
Train: 0.9234| Val: 0.9134| Test: 0.7903| Eval Time: 7829.7691s
Epoch 31| Loss: 0.3747| Acc: 0.8962| Train Time: 132.6059s
Epoch 32| Loss: 0.3695| Acc: 0.8982| Train Time: 131.5744s
Epoch 33| Loss: 0.3685| Acc: 0.8978| Train Time: 128.4134s
Epoch 34| Loss: 0.3687| Acc: 0.8980| Train Time: 129.0537s
Epoch 35| Loss: 0.3694| Acc: 0.8979| Train Time: 130.5920s
Epoch 36| Loss: 0.3675| Acc: 0.8985| Train Time: 130.1882s
Epoch 37| Loss: 0.3677| Acc: 0.8983| Train Time: 130.0608s
Epoch 38| Loss: 0.3662| Acc: 0.8987| Train Time: 130.1490s
Epoch 39| Loss: 0.3654| Acc: 0.8986| Train Time: 128.8168s
Epoch 40| Loss: 0.3651| Acc: 0.8993| Train Time: 129.2525s
Train: 0.9271| Val: 0.9157| Test: 0.7938| Eval Time: 8302.7297s
Epoch 41| Loss: 0.3655| Acc: 0.8982| Train Time: 242.5475s
Epoch 42| Loss: 0.3647| Acc: 0.8985| Train Time: 220.0000s
Epoch 43| Loss: 0.3635| Acc: 0.8992| Train Time: 220.2785s
Epoch 44| Loss: 0.3615| Acc: 0.9000| Train Time: 218.5964s
Epoch 45| Loss: 0.3614| Acc: 0.9003| Train Time: 141.1746s
Epoch 46| Loss: 0.3618| Acc: 0.9001| Train Time: 129.9521s
Epoch 47| Loss: 0.3602| Acc: 0.9002| Train Time: 131.9540s
Epoch 48| Loss: 0.3606| Acc: 0.9010| Train Time: 129.3925s
Epoch 49| Loss: 0.3601| Acc: 0.9002| Train Time: 128.8746s
Epoch 50| Loss: 0.3628| Acc: 0.8999| Train Time: 131.7583s
Train: 0.9289| Val: 0.9179| Test: 0.7963| Eval Time: 8045.2820s
Epoch 51| Loss: 0.3597| Acc: 0.9006| Train Time: 280.7029s
Epoch 52| Loss: 0.3587| Acc: 0.9003| Train Time: 215.0900s
Epoch 53| Loss: 0.3580| Acc: 0.9008| Train Time: 211.8965s
Epoch 54| Loss: 0.3565| Acc: 0.9010| Train Time: 212.5002s
Epoch 55| Loss: 0.3569| Acc: 0.9009| Train Time: 191.4764s
Epoch 56| Loss: 0.3549| Acc: 0.9012| Train Time: 130.1033s
Epoch 57| Loss: 0.3543| Acc: 0.9020| Train Time: 129.8966s
Epoch 58| Loss: 0.3541| Acc: 0.9019| Train Time: 128.4040s
Epoch 59| Loss: 0.3557| Acc: 0.9014| Train Time: 129.4465s
Epoch 60| Loss: 0.3574| Acc: 0.9010| Train Time: 128.8753s
Train: 0.9285| Val: 0.9186| Test: 0.8022| Eval Time: 7614.1627s
Epoch 61| Loss: 0.3549| Acc: 0.9017| Train Time: 156.3092s
Epoch 62| Loss: 0.3529| Acc: 0.9024| Train Time: 128.8079s
Epoch 63| Loss: 0.3544| Acc: 0.9015| Train Time: 130.0931s
Epoch 64| Loss: 0.3548| Acc: 0.9013| Train Time: 129.7574s
Epoch 65| Loss: 0.3551| Acc: 0.9010| Train Time: 133.0270s
Epoch 66| Loss: 0.3527| Acc: 0.9019| Train Time: 131.2536s
Epoch 67| Loss: 0.3515| Acc: 0.9023| Train Time: 131.0878s
Epoch 68| Loss: 0.3558| Acc: 0.9016| Train Time: 128.5978s
Epoch 69| Loss: 0.3539| Acc: 0.9017| Train Time: 129.6569s
Epoch 70| Loss: 0.3507| Acc: 0.9029| Train Time: 129.6556s
Train: 0.9298| Val: 0.9205| Test: 0.8011| Eval Time: 7745.3376s
Epoch 71| Loss: 0.3489| Acc: 0.9032| Train Time: 144.6420s
Epoch 72| Loss: 0.3511| Acc: 0.9029| Train Time: 129.9658s
Epoch 73| Loss: 0.3498| Acc: 0.9022| Train Time: 129.9839s
Epoch 74| Loss: 0.3495| Acc: 0.9027| Train Time: 129.8006s
Epoch 75| Loss: 0.3546| Acc: 0.9013| Train Time: 131.2695s
Epoch 76| Loss: 0.3471| Acc: 0.9035| Train Time: 131.8492s
Epoch 77| Loss: 0.3496| Acc: 0.9024| Train Time: 132.4354s
Epoch 78| Loss: 0.3502| Acc: 0.9021| Train Time: 133.2333s
Epoch 79| Loss: 0.3481| Acc: 0.9023| Train Time: 131.8337s
Epoch 80| Loss: 0.3486| Acc: 0.9032| Train Time: 132.1148s
Train: 0.9295| Val: 0.9194| Test: 0.8022| Eval Time: 7554.6518s
Epoch 81| Loss: 0.3511| Acc: 0.9025| Train Time: 142.2699s
Epoch 82| Loss: 0.3490| Acc: 0.9025| Train Time: 129.8100s
Epoch 83| Loss: 0.3507| Acc: 0.9027| Train Time: 130.7324s
Epoch 84| Loss: 0.3478| Acc: 0.9033| Train Time: 133.6748s
Epoch 85| Loss: 0.3499| Acc: 0.9026| Train Time: 133.1141s
Epoch 86| Loss: 0.3467| Acc: 0.9031| Train Time: 130.3709s
Epoch 87| Loss: 0.3465| Acc: 0.9041| Train Time: 130.1651s
Epoch 88| Loss: 0.3493| Acc: 0.9034| Train Time: 131.2969s
