{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 20000,
    'console_log_freq': 1,
    'dataset_name': <Dataset.OGBN_ARXIV: 'ogbn-arxiv'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.25,
    'force_cpu': False,
    'hidden_size': 256,
    'lr': 0.01,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 1,
    'num_workers': 2,
    'patience_period': 30,
    'sparse': False,
    'test_batch_size': 20000,
    'test_frequency': 2,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: ogbn-arxiv

Run 01:

Epoch 01| Loss: 6.8170| Acc: 0.0933| Train Time: 12.4088s
Epoch 02| Loss: 4.9628| Acc: 0.1090| Train Time: 8.2640s
Train: 0.1859| Val: 0.0831| Test: 0.0663| Eval Time: 13.1146s
Epoch 03| Loss: 3.6739| Acc: 0.1826| Train Time: 4.3838s
Epoch 04| Loss: 2.9131| Acc: 0.2416| Train Time: 4.3760s
Train: 0.3266| Val: 0.3264| Test: 0.3220| Eval Time: 9.9989s
Epoch 05| Loss: 2.5320| Acc: 0.3389| Train Time: 4.6279s
Epoch 06| Loss: 2.2364| Acc: 0.4033| Train Time: 4.3823s
Train: 0.4697| Val: 0.4809| Test: 0.4335| Eval Time: 10.4402s
Epoch 07| Loss: 2.0561| Acc: 0.4440| Train Time: 4.4510s
Epoch 08| Loss: 1.9251| Acc: 0.4764| Train Time: 4.4458s
Train: 0.5310| Val: 0.5284| Test: 0.4749| Eval Time: 9.8022s
Epoch 09| Loss: 1.8128| Acc: 0.5015| Train Time: 4.5182s
Epoch 10| Loss: 1.7334| Acc: 0.5222| Train Time: 4.5200s
Train: 0.5596| Val: 0.5532| Test: 0.5003| Eval Time: 9.9082s
Epoch 11| Loss: 1.6830| Acc: 0.5346| Train Time: 4.4262s
Epoch 12| Loss: 1.6370| Acc: 0.5455| Train Time: 4.4233s
Train: 0.5760| Val: 0.5703| Test: 0.5166| Eval Time: 9.9048s
Epoch 13| Loss: 1.5976| Acc: 0.5537| Train Time: 4.5409s
Epoch 14| Loss: 1.5649| Acc: 0.5596| Train Time: 4.3747s
Train: 0.5885| Val: 0.5806| Test: 0.5223| Eval Time: 10.1516s
Epoch 15| Loss: 1.5401| Acc: 0.5674| Train Time: 4.6845s
Epoch 16| Loss: 1.5171| Acc: 0.5719| Train Time: 4.3503s
Train: 0.5982| Val: 0.5862| Test: 0.5272| Eval Time: 10.0384s
Epoch 17| Loss: 1.5011| Acc: 0.5751| Train Time: 4.4251s
Epoch 18| Loss: 1.4834| Acc: 0.5810| Train Time: 4.4889s
Train: 0.6035| Val: 0.5894| Test: 0.5344| Eval Time: 10.2714s
Epoch 19| Loss: 1.4739| Acc: 0.5813| Train Time: 4.4090s
Epoch 20| Loss: 1.4579| Acc: 0.5859| Train Time: 4.5062s
Train: 0.6098| Val: 0.5946| Test: 0.5393| Eval Time: 10.0624s
Epoch 21| Loss: 1.4454| Acc: 0.5906| Train Time: 4.5952s
Epoch 22| Loss: 1.4406| Acc: 0.5900| Train Time: 4.3602s
Train: 0.6132| Val: 0.5977| Test: 0.5372| Eval Time: 10.1077s
Epoch 23| Loss: 1.4236| Acc: 0.5929| Train Time: 4.5979s
Epoch 24| Loss: 1.4186| Acc: 0.5948| Train Time: 4.5425s
Train: 0.6176| Val: 0.6005| Test: 0.5388| Eval Time: 10.1984s
Epoch 25| Loss: 1.4100| Acc: 0.5964| Train Time: 4.5452s
Epoch 26| Loss: 1.4070| Acc: 0.5965| Train Time: 4.4174s
Train: 0.6212| Val: 0.6034| Test: 0.5426| Eval Time: 9.8270s
Epoch 27| Loss: 1.4005| Acc: 0.5989| Train Time: 4.7746s
Epoch 28| Loss: 1.3928| Acc: 0.5987| Train Time: 4.6522s
Train: 0.6234| Val: 0.6031| Test: 0.5440| Eval Time: 10.4477s
Epoch 29| Loss: 1.3864| Acc: 0.6018| Train Time: 4.6268s
Epoch 30| Loss: 1.3738| Acc: 0.6045| Train Time: 4.4420s
Train: 0.6252| Val: 0.6035| Test: 0.5428| Eval Time: 10.7542s
Epoch 31| Loss: 1.3740| Acc: 0.6057| Train Time: 5.0108s
Epoch 32| Loss: 1.3730| Acc: 0.6052| Train Time: 4.7579s
Train: 0.6273| Val: 0.6076| Test: 0.5488| Eval Time: 10.6059s
Epoch 33| Loss: 1.3665| Acc: 0.6064| Train Time: 4.6967s
Epoch 34| Loss: 1.3658| Acc: 0.6089| Train Time: 4.6031s
Train: 0.6266| Val: 0.6114| Test: 0.5585| Eval Time: 10.8052s
