{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 20000,
    'console_log_freq': 1,
    'dataset_name': <Dataset.OGBN_ARXIV: 'ogbn-arxiv'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.25,
    'force_cpu': False,
    'hidden_size': 256,
    'lr': 0.01,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 1,
    'num_workers': 2,
    'patience_period': 30,
    'sparse': False,
    'test_batch_size': 20000,
    'test_frequency': 2,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: ogbn-arxiv

Run 01:

Epoch 01| Loss: 5.9000| Acc: 0.0832| Train Time: 12.9332s
Epoch 02| Loss: 4.0598| Acc: 0.1607| Train Time: 8.2124s
Train: 0.2343| Val: 0.1556| Test: 0.1623| Eval Time: 12.7816s
Epoch 03| Loss: 2.9965| Acc: 0.2839| Train Time: 4.4766s
Epoch 04| Loss: 2.4438| Acc: 0.3810| Train Time: 4.4395s
Train: 0.4592| Val: 0.4777| Test: 0.4400| Eval Time: 10.3239s
Epoch 05| Loss: 2.1546| Acc: 0.4390| Train Time: 4.5806s
Epoch 06| Loss: 1.9694| Acc: 0.4737| Train Time: 4.6362s
Train: 0.5191| Val: 0.5223| Test: 0.4778| Eval Time: 10.2736s
Epoch 07| Loss: 1.8341| Acc: 0.5026| Train Time: 4.6598s
Epoch 08| Loss: 1.7493| Acc: 0.5215| Train Time: 4.7535s
Train: 0.5573| Val: 0.5553| Test: 0.5025| Eval Time: 10.5631s
Epoch 09| Loss: 1.6773| Acc: 0.5369| Train Time: 4.5658s
Epoch 10| Loss: 1.6269| Acc: 0.5489| Train Time: 4.6219s
Train: 0.5789| Val: 0.5704| Test: 0.5160| Eval Time: 10.2332s
Epoch 11| Loss: 1.5895| Acc: 0.5589| Train Time: 4.7157s
Epoch 12| Loss: 1.5541| Acc: 0.5640| Train Time: 4.6416s
Train: 0.5927| Val: 0.5815| Test: 0.5256| Eval Time: 10.5665s
Epoch 13| Loss: 1.5324| Acc: 0.5703| Train Time: 4.6626s
Epoch 14| Loss: 1.5094| Acc: 0.5765| Train Time: 4.6220s
Train: 0.5995| Val: 0.5878| Test: 0.5282| Eval Time: 10.5358s
Epoch 15| Loss: 1.4868| Acc: 0.5808| Train Time: 4.5518s
Epoch 16| Loss: 1.4765| Acc: 0.5846| Train Time: 4.6491s
Train: 0.6075| Val: 0.5969| Test: 0.5410| Eval Time: 10.6842s
Epoch 17| Loss: 1.4630| Acc: 0.5845| Train Time: 4.7283s
Epoch 18| Loss: 1.4553| Acc: 0.5873| Train Time: 4.6662s
Train: 0.6133| Val: 0.5977| Test: 0.5372| Eval Time: 10.6498s
Epoch 19| Loss: 1.4394| Acc: 0.5908| Train Time: 4.7482s
Epoch 20| Loss: 1.4305| Acc: 0.5926| Train Time: 4.6199s
Train: 0.6157| Val: 0.5993| Test: 0.5390| Eval Time: 10.6716s
Epoch 21| Loss: 1.4219| Acc: 0.5940| Train Time: 5.0096s
Epoch 22| Loss: 1.4088| Acc: 0.5969| Train Time: 4.8444s
Train: 0.6195| Val: 0.6040| Test: 0.5455| Eval Time: 11.1507s
Epoch 23| Loss: 1.4066| Acc: 0.5986| Train Time: 4.7708s
Epoch 24| Loss: 1.3992| Acc: 0.6003| Train Time: 4.6253s
Train: 0.6226| Val: 0.6060| Test: 0.5475| Eval Time: 10.5272s
Epoch 25| Loss: 1.3944| Acc: 0.6017| Train Time: 4.6338s
Epoch 26| Loss: 1.3912| Acc: 0.6030| Train Time: 4.6833s
Train: 0.6236| Val: 0.6044| Test: 0.5462| Eval Time: 10.2082s
Epoch 27| Loss: 1.3875| Acc: 0.6019| Train Time: 4.6184s
Epoch 28| Loss: 1.3789| Acc: 0.6041| Train Time: 4.8195s
Train: 0.6256| Val: 0.6070| Test: 0.5455| Eval Time: 10.3507s
Epoch 29| Loss: 1.3690| Acc: 0.6073| Train Time: 4.8059s
Epoch 30| Loss: 1.3735| Acc: 0.6050| Train Time: 4.6744s
Train: 0.6283| Val: 0.6073| Test: 0.5477| Eval Time: 10.6240s
Epoch 31| Loss: 1.3617| Acc: 0.6071| Train Time: 4.5439s
Epoch 32| Loss: 1.3619| Acc: 0.6080| Train Time: 4.6063s
Train: 0.6300| Val: 0.6135| Test: 0.5577| Eval Time: 13.5716s
Epoch 33| Loss: 1.3593| Acc: 0.6101| Train Time: 5.5755s
Epoch 34| Loss: 1.3499| Acc: 0.6106| Train Time: 4.6307s
Train: 0.6303| Val: 0.6123| Test: 0.5507| Eval Time: 11.1667s
Epoch 35| Loss: 1.3553| Acc: 0.6095| Train Time: 4.7370s
Epoch 36| Loss: 1.3503| Acc: 0.6084| Train Time: 4.9091s
Train: 0.6327| Val: 0.6109| Test: 0.5535| Eval Time: 10.2843s
Epoch 37| Loss: 1.3467| Acc: 0.6102| Train Time: 4.5475s
Epoch 38| Loss: 1.3413| Acc: 0.6127| Train Time: 4.5295s
Train: 0.6355| Val: 0.6127| Test: 0.5511| Eval Time: 10.1901s
Epoch 39| Loss: 1.3403| Acc: 0.6132| Train Time: 4.7487s
Epoch 40| Loss: 1.3368| Acc: 0.6131| Train Time: 4.5761s
Train: 0.6332| Val: 0.6118| Test: 0.5560| Eval Time: 11.3279s
