{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 32,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 2,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 3,
    'num_workers': 2,
    'patience_period': 100,
    'sparse': True,
    'test_batch_size': 32,
    'test_frequency': 5,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 0.8357| Acc: 0.7622| Train Time: 17.2308s
Epoch 02| Loss: 0.4436| Acc: 0.8837| Train Time: 3.4207s
Epoch 03| Loss: 0.3155| Acc: 0.9095| Train Time: 3.3437s
Epoch 04| Loss: 0.2191| Acc: 0.9317| Train Time: 3.4991s
Epoch 05| Loss: 0.1739| Acc: 0.9372| Train Time: 3.5584s
Train: 0.9929| Val: 0.9820| Test: 0.9800| Eval Time: 12.3387s
Epoch 06| Loss: 0.1618| Acc: 0.9557| Train Time: 3.4736s
Epoch 07| Loss: 0.1307| Acc: 0.9612| Train Time: 3.3184s
Epoch 08| Loss: 0.1341| Acc: 0.9579| Train Time: 3.2121s
Epoch 09| Loss: 0.0903| Acc: 0.9694| Train Time: 3.2545s
Epoch 10| Loss: 0.0708| Acc: 0.9764| Train Time: 3.2022s
Train: 0.9929| Val: 1.0000| Test: 0.9930| Eval Time: 6.2339s
Epoch 11| Loss: 0.0605| Acc: 0.9793| Train Time: 3.5132s
Epoch 12| Loss: 0.1025| Acc: 0.9738| Train Time: 3.6031s
Epoch 13| Loss: 0.0910| Acc: 0.9742| Train Time: 3.5666s
Epoch 14| Loss: 0.0873| Acc: 0.9723| Train Time: 3.3340s
Epoch 15| Loss: 0.0896| Acc: 0.9749| Train Time: 3.3118s
Train: 0.9857| Val: 0.9960| Test: 0.9910| Eval Time: 5.3794s
Epoch 16| Loss: 0.0962| Acc: 0.9712| Train Time: 3.3332s
Epoch 17| Loss: 0.0685| Acc: 0.9771| Train Time: 3.3237s
Epoch 18| Loss: 0.0741| Acc: 0.9775| Train Time: 3.4715s
Epoch 19| Loss: 0.1020| Acc: 0.9797| Train Time: 3.3463s
Epoch 20| Loss: 0.0798| Acc: 0.9771| Train Time: 3.3663s
Train: 0.9857| Val: 0.9920| Test: 0.9830| Eval Time: 5.3708s
Epoch 21| Loss: 0.0965| Acc: 0.9719| Train Time: 3.3598s
Epoch 22| Loss: 0.0822| Acc: 0.9801| Train Time: 3.7459s
Epoch 23| Loss: 0.0844| Acc: 0.9767| Train Time: 3.5409s
Epoch 24| Loss: 0.0882| Acc: 0.9749| Train Time: 3.6289s
Epoch 25| Loss: 0.0750| Acc: 0.9753| Train Time: 3.4233s
Train: 0.9929| Val: 0.9960| Test: 0.9980| Eval Time: 6.1031s
