{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 20000,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 3,
    'num_workers': 2,
    'patience_period': 100,
    'sparse': False,
    'test_batch_size': 20000,
    'test_frequency': 5,
    'use_batch_norm': False,
    'use_layer_norm': True}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 2.7965| Acc: 0.1143| Train Time: 2.6872s
Epoch 02| Loss: 1.6103| Acc: 0.4071| Train Time: 2.8859s
Epoch 03| Loss: 1.2613| Acc: 0.5714| Train Time: 2.9095s
Epoch 04| Loss: 0.8857| Acc: 0.7000| Train Time: 2.2295s
Epoch 05| Loss: 0.7768| Acc: 0.7714| Train Time: 2.2649s
Train: 0.9714| Val: 0.7640| Test: 0.7560| Eval Time: 4.9974s
Epoch 06| Loss: 0.5348| Acc: 0.8429| Train Time: 2.3400s
Epoch 07| Loss: 0.4492| Acc: 0.8643| Train Time: 2.2609s
Epoch 08| Loss: 0.3991| Acc: 0.9000| Train Time: 2.3152s
Epoch 09| Loss: 0.3441| Acc: 0.8857| Train Time: 2.2661s
Epoch 10| Loss: 0.3524| Acc: 0.9071| Train Time: 2.2396s
Train: 1.0000| Val: 0.7860| Test: 0.7800| Eval Time: 4.6089s
Epoch 11| Loss: 0.2878| Acc: 0.9143| Train Time: 2.2237s
Epoch 12| Loss: 0.2806| Acc: 0.9286| Train Time: 2.1812s
Epoch 13| Loss: 0.2713| Acc: 0.9071| Train Time: 2.1859s
Epoch 14| Loss: 0.1914| Acc: 0.9429| Train Time: 2.1495s
Epoch 15| Loss: 0.1517| Acc: 0.9571| Train Time: 2.1908s
Train: 1.0000| Val: 0.7880| Test: 0.7890| Eval Time: 4.4421s
Epoch 16| Loss: 0.2055| Acc: 0.9571| Train Time: 2.1377s
Epoch 17| Loss: 0.1208| Acc: 0.9857| Train Time: 2.2208s
Epoch 18| Loss: 0.1082| Acc: 0.9786| Train Time: 2.1642s
Epoch 19| Loss: 0.1484| Acc: 0.9714| Train Time: 2.1480s
Epoch 20| Loss: 0.1042| Acc: 0.9786| Train Time: 2.2031s
Train: 1.0000| Val: 0.7820| Test: 0.7950| Eval Time: 4.3684s
Epoch 21| Loss: 0.1141| Acc: 0.9786| Train Time: 2.1032s
Epoch 22| Loss: 0.0977| Acc: 0.9857| Train Time: 2.1300s
Epoch 23| Loss: 0.1018| Acc: 0.9643| Train Time: 2.1273s
Epoch 24| Loss: 0.1029| Acc: 0.9714| Train Time: 2.1443s
Epoch 25| Loss: 0.0911| Acc: 0.9786| Train Time: 2.1080s
Train: 1.0000| Val: 0.7800| Test: 0.7960| Eval Time: 4.3367s
Epoch 26| Loss: 0.0605| Acc: 0.9857| Train Time: 2.1508s
Epoch 27| Loss: 0.0537| Acc: 0.9929| Train Time: 2.1896s
Epoch 28| Loss: 0.0427| Acc: 0.9929| Train Time: 2.1249s
Epoch 29| Loss: 0.0946| Acc: 0.9857| Train Time: 2.1842s
Epoch 30| Loss: 0.0763| Acc: 0.9857| Train Time: 2.1575s
Train: 1.0000| Val: 0.7760| Test: 0.7980| Eval Time: 4.3055s
Epoch 31| Loss: 0.0926| Acc: 0.9857| Train Time: 2.1727s
Epoch 32| Loss: 0.0303| Acc: 1.0000| Train Time: 2.1560s
Epoch 33| Loss: 0.0288| Acc: 1.0000| Train Time: 2.1108s
Epoch 34| Loss: 0.0457| Acc: 0.9929| Train Time: 2.1503s
Epoch 35| Loss: 0.0449| Acc: 0.9929| Train Time: 2.1391s
Train: 1.0000| Val: 0.7700| Test: 0.7890| Eval Time: 4.3071s
Epoch 36| Loss: 0.0435| Acc: 0.9929| Train Time: 2.1369s
Epoch 37| Loss: 0.0385| Acc: 1.0000| Train Time: 2.6558s
