{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 20000,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'init_dropout': True,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 5,
    'num_workers': 2,
    'patience_period': 100,
    'sparse': False,
    'test_batch_size': 20000,
    'test_frequency': 5,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 2.1026| Acc: 0.1429| Train Time: 2.7335s
Epoch 02| Loss: 2.0992| Acc: 0.1857| Train Time: 2.9363s
Epoch 03| Loss: 1.8992| Acc: 0.2643| Train Time: 3.3720s
Epoch 04| Loss: 1.7517| Acc: 0.3929| Train Time: 2.3784s
Epoch 05| Loss: 1.5358| Acc: 0.4643| Train Time: 2.5273s
Train: 0.8929| Val: 0.6360| Test: 0.6570| Eval Time: 5.4076s
Epoch 06| Loss: 1.4688| Acc: 0.5286| Train Time: 2.2175s
Epoch 07| Loss: 1.1715| Acc: 0.6714| Train Time: 2.2323s
Epoch 08| Loss: 1.2452| Acc: 0.6214| Train Time: 2.3908s
Epoch 09| Loss: 1.1769| Acc: 0.6500| Train Time: 2.5812s
Epoch 10| Loss: 0.9009| Acc: 0.7357| Train Time: 2.3168s
Train: 0.9714| Val: 0.7420| Test: 0.7640| Eval Time: 4.7749s
Epoch 11| Loss: 0.9580| Acc: 0.7000| Train Time: 2.3292s
Epoch 12| Loss: 1.0093| Acc: 0.7000| Train Time: 2.3054s
Epoch 13| Loss: 0.8567| Acc: 0.7786| Train Time: 2.3317s
Epoch 14| Loss: 0.7946| Acc: 0.8286| Train Time: 2.3184s
Epoch 15| Loss: 0.7926| Acc: 0.8000| Train Time: 2.2817s
Train: 1.0000| Val: 0.7640| Test: 0.7830| Eval Time: 4.8998s
Epoch 16| Loss: 0.7866| Acc: 0.8214| Train Time: 2.4837s
Epoch 17| Loss: 0.7393| Acc: 0.8286| Train Time: 2.4712s
Epoch 18| Loss: 0.6182| Acc: 0.8286| Train Time: 2.6157s
Epoch 19| Loss: 0.7027| Acc: 0.7786| Train Time: 2.3094s
Epoch 20| Loss: 0.6307| Acc: 0.8500| Train Time: 2.2959s
Train: 1.0000| Val: 0.7740| Test: 0.7920| Eval Time: 4.7379s
Epoch 21| Loss: 0.5519| Acc: 0.8500| Train Time: 2.2264s
Epoch 22| Loss: 0.6408| Acc: 0.8571| Train Time: 2.2127s
Epoch 23| Loss: 0.4548| Acc: 0.9214| Train Time: 2.2541s
Epoch 24| Loss: 0.4948| Acc: 0.8714| Train Time: 2.2733s
Epoch 25| Loss: 0.3961| Acc: 0.8786| Train Time: 2.2746s
Train: 1.0000| Val: 0.7860| Test: 0.7980| Eval Time: 4.6102s
Epoch 26| Loss: 0.4513| Acc: 0.8857| Train Time: 2.2844s
Epoch 27| Loss: 0.4400| Acc: 0.8857| Train Time: 2.3746s
Epoch 28| Loss: 0.3683| Acc: 0.9071| Train Time: 2.3816s
Epoch 29| Loss: 0.4155| Acc: 0.8929| Train Time: 2.3440s
Epoch 30| Loss: 0.4588| Acc: 0.8429| Train Time: 2.2981s
Train: 1.0000| Val: 0.7900| Test: 0.8000| Eval Time: 4.6286s
Epoch 31| Loss: 0.3817| Acc: 0.8857| Train Time: 2.2710s
Epoch 32| Loss: 0.3677| Acc: 0.9214| Train Time: 2.2467s
Epoch 33| Loss: 0.3161| Acc: 0.9214| Train Time: 2.3167s
Epoch 34| Loss: 0.4122| Acc: 0.8929| Train Time: 2.2496s
Epoch 35| Loss: 0.2590| Acc: 0.9500| Train Time: 2.2744s
Train: 1.0000| Val: 0.7720| Test: 0.7930| Eval Time: 4.8159s
Epoch 36| Loss: 0.3353| Acc: 0.9143| Train Time: 2.2788s
Epoch 37| Loss: 0.2755| Acc: 0.9500| Train Time: 2.2196s
Epoch 38| Loss: 0.2649| Acc: 0.9214| Train Time: 2.2560s
Epoch 39| Loss: 0.2619| Acc: 0.9357| Train Time: 2.2426s
Epoch 40| Loss: 0.2203| Acc: 0.9714| Train Time: 2.2630s
Train: 1.0000| Val: 0.7740| Test: 0.7920| Eval Time: 4.5813s
Epoch 41| Loss: 0.2798| Acc: 0.9357| Train Time: 2.2666s
Epoch 42| Loss: 0.2512| Acc: 0.9500| Train Time: 2.3200s
Epoch 43| Loss: 0.2054| Acc: 0.9429| Train Time: 2.8312s
Epoch 44| Loss: 0.2537| Acc: 0.9214| Train Time: 2.3997s
Epoch 45| Loss: 0.1836| Acc: 0.9500| Train Time: 2.3904s
Train: 1.0000| Val: 0.7820| Test: 0.7910| Eval Time: 5.6816s
Epoch 46| Loss: 0.2028| Acc: 0.9357| Train Time: 2.5894s
Epoch 47| Loss: 0.2404| Acc: 0.9286| Train Time: 2.6598s
Epoch 48| Loss: 0.2016| Acc: 0.9571| Train Time: 2.8176s
Epoch 49| Loss: 0.1736| Acc: 0.9571| Train Time: 2.3534s
Epoch 50| Loss: 0.2343| Acc: 0.9286| Train Time: 2.8246s
