{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 20000,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'init_dropout': True,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 5,
    'num_workers': 2,
    'patience_period': 100,
    'sparse': False,
    'test_batch_size': 20000,
    'test_frequency': 5,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 2.0853| Acc: 0.1357| Train Time: 2.7502s
Epoch 02| Loss: 1.7406| Acc: 0.3929| Train Time: 3.1309s
Epoch 03| Loss: 1.5218| Acc: 0.5429| Train Time: 3.1902s
Epoch 04| Loss: 1.2903| Acc: 0.7143| Train Time: 2.3607s
Epoch 05| Loss: 1.1410| Acc: 0.7643| Train Time: 2.2538s
Train: 0.9643| Val: 0.6560| Test: 0.6840| Eval Time: 4.8668s
Epoch 06| Loss: 0.9504| Acc: 0.8071| Train Time: 2.2041s
Epoch 07| Loss: 0.8986| Acc: 0.8143| Train Time: 2.1963s
Epoch 08| Loss: 0.7324| Acc: 0.9000| Train Time: 2.2833s
Epoch 09| Loss: 0.6572| Acc: 0.8929| Train Time: 2.3470s
Epoch 10| Loss: 0.5892| Acc: 0.9286| Train Time: 2.2842s
Train: 0.9929| Val: 0.7400| Test: 0.7490| Eval Time: 5.0604s
Epoch 11| Loss: 0.5071| Acc: 0.9214| Train Time: 2.2937s
Epoch 12| Loss: 0.4899| Acc: 0.9286| Train Time: 2.2112s
Epoch 13| Loss: 0.3575| Acc: 0.9571| Train Time: 2.2135s
Epoch 14| Loss: 0.2996| Acc: 0.9643| Train Time: 2.2905s
Epoch 15| Loss: 0.3532| Acc: 0.9286| Train Time: 2.3164s
Train: 0.9929| Val: 0.7540| Test: 0.7590| Eval Time: 4.7687s
Epoch 16| Loss: 0.2881| Acc: 0.9571| Train Time: 2.3199s
Epoch 17| Loss: 0.3180| Acc: 0.9214| Train Time: 2.2267s
Epoch 18| Loss: 0.2192| Acc: 0.9643| Train Time: 2.2576s
Epoch 19| Loss: 0.2175| Acc: 0.9429| Train Time: 2.2776s
Epoch 20| Loss: 0.1425| Acc: 1.0000| Train Time: 2.3654s
Train: 1.0000| Val: 0.7700| Test: 0.7650| Eval Time: 4.7263s
Epoch 21| Loss: 0.1226| Acc: 0.9929| Train Time: 2.1946s
Epoch 22| Loss: 0.1758| Acc: 0.9786| Train Time: 2.5051s
Epoch 23| Loss: 0.1062| Acc: 0.9929| Train Time: 2.3058s
Epoch 24| Loss: 0.0887| Acc: 1.0000| Train Time: 2.3358s
Epoch 25| Loss: 0.1306| Acc: 0.9714| Train Time: 2.2179s
Train: 1.0000| Val: 0.7660| Test: 0.7630| Eval Time: 4.6677s
Epoch 26| Loss: 0.1156| Acc: 0.9643| Train Time: 2.2782s
Epoch 27| Loss: 0.1439| Acc: 0.9786| Train Time: 2.2747s
Epoch 28| Loss: 0.1040| Acc: 0.9714| Train Time: 2.3121s
Epoch 29| Loss: 0.0980| Acc: 0.9929| Train Time: 2.7427s
Epoch 30| Loss: 0.0862| Acc: 0.9929| Train Time: 2.8576s
Train: 1.0000| Val: 0.7580| Test: 0.7590| Eval Time: 4.9931s
Epoch 31| Loss: 0.0670| Acc: 0.9714| Train Time: 2.3992s
Epoch 32| Loss: 0.0731| Acc: 0.9929| Train Time: 2.3674s
Epoch 33| Loss: 0.0807| Acc: 0.9857| Train Time: 2.6349s
Epoch 34| Loss: 0.0535| Acc: 0.9929| Train Time: 2.7291s
Epoch 35| Loss: 0.0803| Acc: 0.9929| Train Time: 2.5190s
Train: 1.0000| Val: 0.7340| Test: 0.7580| Eval Time: 5.4470s
Epoch 36| Loss: 0.0948| Acc: 0.9714| Train Time: 2.3328s
Epoch 37| Loss: 0.0680| Acc: 0.9786| Train Time: 2.3024s
Epoch 38| Loss: 0.1402| Acc: 0.9500| Train Time: 2.3128s
Epoch 39| Loss: 0.0837| Acc: 0.9714| Train Time: 2.2942s
Epoch 40| Loss: 0.0570| Acc: 0.9929| Train Time: 2.3623s
Train: 1.0000| Val: 0.7440| Test: 0.7590| Eval Time: 4.9242s
Epoch 41| Loss: 0.0815| Acc: 0.9857| Train Time: 2.6820s
Epoch 42| Loss: 0.0525| Acc: 1.0000| Train Time: 2.6292s
Epoch 43| Loss: 0.0689| Acc: 0.9857| Train Time: 2.5766s
Epoch 44| Loss: 0.0512| Acc: 0.9857| Train Time: 3.0255s
