{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CITESEER: 'CiteSeer'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: CiteSeer

Run 01:

Epoch 01| Loss: 1.8544| Acc: 0.1417| Train Time: 1.6944s
Train: 0.8750| Val: 0.5500| Test: 0.5360| Eval Time: 4.7591s
Epoch 02| Loss: 1.1985| Acc: 0.7417| Train Time: 0.6547s
Train: 0.9667| Val: 0.6520| Test: 0.6250| Eval Time: 0.0760s
Epoch 03| Loss: 0.8274| Acc: 0.8667| Train Time: 0.6415s
Train: 1.0000| Val: 0.6780| Test: 0.6550| Eval Time: 0.0764s
Epoch 04| Loss: 0.5586| Acc: 0.9667| Train Time: 0.0110s
Train: 1.0000| Val: 0.6700| Test: 0.6540| Eval Time: 0.0800s
Epoch 05| Loss: 0.4008| Acc: 0.9500| Train Time: 0.0110s
Train: 1.0000| Val: 0.6740| Test: 0.6660| Eval Time: 0.0840s
Epoch 06| Loss: 0.2665| Acc: 1.0000| Train Time: 0.0130s
Train: 1.0000| Val: 0.6800| Test: 0.6740| Eval Time: 0.0840s
Epoch 07| Loss: 0.2137| Acc: 0.9917| Train Time: 0.0110s
Train: 1.0000| Val: 0.6840| Test: 0.6790| Eval Time: 0.0830s
Epoch 08| Loss: 0.1894| Acc: 0.9833| Train Time: 0.0110s
Train: 1.0000| Val: 0.6900| Test: 0.6810| Eval Time: 0.0830s
Epoch 09| Loss: 0.1324| Acc: 0.9917| Train Time: 0.0120s
Train: 1.0000| Val: 0.6940| Test: 0.6760| Eval Time: 0.0870s
Epoch 10| Loss: 0.1192| Acc: 0.9833| Train Time: 0.0110s
Train: 1.0000| Val: 0.6900| Test: 0.6750| Eval Time: 0.0810s
Epoch 11| Loss: 0.0878| Acc: 1.0000| Train Time: 0.0140s
