{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.TRANS: 'TRANS'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 1,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 1.9806| Acc: 0.1643| Train Time: 1.7853s
Train: 0.9643| Val: 0.4260| Test: 0.4460| Eval Time: 3.9424s
Epoch 02| Loss: 1.3607| Acc: 0.8500| Train Time: 0.6678s
Train: 0.9857| Val: 0.5080| Test: 0.5110| Eval Time: 0.0607s
Epoch 03| Loss: 0.8851| Acc: 0.9143| Train Time: 0.6539s
Train: 1.0000| Val: 0.5600| Test: 0.5480| Eval Time: 0.0609s
Epoch 04| Loss: 0.5214| Acc: 0.9857| Train Time: 0.0179s
Train: 1.0000| Val: 0.5840| Test: 0.5560| Eval Time: 0.0610s
Epoch 05| Loss: 0.2958| Acc: 1.0000| Train Time: 0.0190s
Train: 1.0000| Val: 0.5860| Test: 0.5650| Eval Time: 0.0613s
Epoch 06| Loss: 0.1852| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.5860| Test: 0.5680| Eval Time: 0.0704s
Epoch 07| Loss: 0.1001| Acc: 1.0000| Train Time: 0.0199s
Train: 1.0000| Val: 0.5800| Test: 0.5680| Eval Time: 0.0704s
Epoch 08| Loss: 0.0799| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5780| Test: 0.5670| Eval Time: 0.0671s
Epoch 09| Loss: 0.0288| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5780| Test: 0.5660| Eval Time: 0.0696s
Epoch 10| Loss: 0.0313| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5780| Test: 0.5640| Eval Time: 0.0664s
Epoch 11| Loss: 0.0202| Acc: 1.0000| Train Time: 0.0219s
Train: 1.0000| Val: 0.5780| Test: 0.5650| Eval Time: 0.0701s
Epoch 12| Loss: 0.0213| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5700| Test: 0.5660| Eval Time: 0.0640s
Epoch 13| Loss: 0.0172| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5740| Test: 0.5620| Eval Time: 0.0606s
Epoch 14| Loss: 0.0088| Acc: 1.0000| Train Time: 0.0169s
Train: 1.0000| Val: 0.5740| Test: 0.5580| Eval Time: 0.0586s
Epoch 15| Loss: 0.0045| Acc: 1.0000| Train Time: 0.0160s
Train: 1.0000| Val: 0.5700| Test: 0.5550| Eval Time: 0.0618s
Epoch 16| Loss: 0.0105| Acc: 1.0000| Train Time: 0.0160s
Train: 1.0000| Val: 0.5660| Test: 0.5500| Eval Time: 0.0588s
Epoch 17| Loss: 0.0014| Acc: 1.0000| Train Time: 0.0189s
Train: 1.0000| Val: 0.5660| Test: 0.5500| Eval Time: 0.0584s
Epoch 18| Loss: 0.0030| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5640| Test: 0.5490| Eval Time: 0.0672s
Epoch 19| Loss: 0.0009| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.5640| Test: 0.5510| Eval Time: 0.0689s
Epoch 20| Loss: 0.0006| Acc: 1.0000| Train Time: 0.0160s
Train: 1.0000| Val: 0.5640| Test: 0.5500| Eval Time: 0.0649s
Epoch 21| Loss: 0.0015| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.5640| Test: 0.5500| Eval Time: 0.0697s
Epoch 22| Loss: 0.0005| Acc: 1.0000| Train Time: 0.0179s
Train: 1.0000| Val: 0.5600| Test: 0.5480| Eval Time: 0.0621s
Epoch 23| Loss: 0.0027| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.5540| Test: 0.5460| Eval Time: 0.0654s
Epoch 24| Loss: 0.0005| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5520| Test: 0.5460| Eval Time: 0.0706s
Epoch 25| Loss: 0.0008| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5500| Test: 0.5440| Eval Time: 0.0580s
Epoch 26| Loss: 0.0009| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.5500| Test: 0.5440| Eval Time: 0.0578s
Epoch 27| Loss: 0.0003| Acc: 1.0000| Train Time: 0.0140s
Train: 1.0000| Val: 0.5460| Test: 0.5430| Eval Time: 0.0656s
Epoch 28| Loss: 0.0004| Acc: 1.0000| Train Time: 0.0150s
