{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.TRANS: 'TRANS'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 1,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for Trans_K1_ns and Cora:

Epoch 01| Loss: 1.9943| Acc: 0.1286| Train Time: 1.6262s
Train: 0.9143| Val: 0.3620| Test: 0.3610| Eval Time: 4.2463s
Epoch 02| Loss: 1.4367| Acc: 0.7857| Train Time: 1.4816s
Train: 0.9643| Val: 0.5380| Test: 0.5550| Eval Time: 0.1385s
Epoch 03| Loss: 0.9265| Acc: 0.9357| Train Time: 1.0615s
Train: 0.9929| Val: 0.5820| Test: 0.5820| Eval Time: 0.0700s
Epoch 04| Loss: 0.5818| Acc: 0.9643| Train Time: 0.0170s
Train: 1.0000| Val: 0.5860| Test: 0.5950| Eval Time: 0.0870s
Epoch 05| Loss: 0.3602| Acc: 0.9857| Train Time: 0.0140s
Train: 1.0000| Val: 0.5900| Test: 0.5860| Eval Time: 0.0781s
Epoch 06| Loss: 0.2064| Acc: 0.9929| Train Time: 0.0200s
Train: 1.0000| Val: 0.5880| Test: 0.5880| Eval Time: 0.0915s
Epoch 07| Loss: 0.1247| Acc: 1.0000| Train Time: 0.0260s
Train: 1.0000| Val: 0.5900| Test: 0.5870| Eval Time: 0.0870s
Epoch 08| Loss: 0.0758| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.5900| Test: 0.5900| Eval Time: 0.0725s
Epoch 09| Loss: 0.0563| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5900| Test: 0.5940| Eval Time: 0.0675s
Epoch 10| Loss: 0.0302| Acc: 1.0000| Train Time: 0.0190s
Train: 1.0000| Val: 0.5880| Test: 0.5960| Eval Time: 0.1080s
Epoch 11| Loss: 0.0312| Acc: 1.0000| Train Time: 0.0250s
Train: 1.0000| Val: 0.5880| Test: 0.5980| Eval Time: 0.0770s
Epoch 12| Loss: 0.0186| Acc: 1.0000| Train Time: 0.0160s
Train: 1.0000| Val: 0.5900| Test: 0.5970| Eval Time: 0.0760s
Epoch 13| Loss: 0.0147| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5880| Test: 0.5970| Eval Time: 0.0790s
Epoch 14| Loss: 0.0074| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5880| Test: 0.5930| Eval Time: 0.0770s
Epoch 15| Loss: 0.0076| Acc: 1.0000| Train Time: 0.0170s
Train: 1.0000| Val: 0.5860| Test: 0.5920| Eval Time: 0.1000s
