{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 2,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K2_s and Cora:

Epoch 01| Loss: 2.0165| Acc: 0.1643| Train Time: 0.4150s
Train: 0.7857| Val: 0.4600| Test: 0.4780| Eval Time: 0.2972s
Epoch 02| Loss: 1.5861| Acc: 0.6571| Train Time: 0.2001s
Train: 0.9071| Val: 0.6220| Test: 0.6110| Eval Time: 0.2222s
Epoch 03| Loss: 1.2430| Acc: 0.7929| Train Time: 0.1976s
Train: 0.9857| Val: 0.7260| Test: 0.7290| Eval Time: 0.2529s
Epoch 04| Loss: 0.9295| Acc: 0.9000| Train Time: 0.2279s
Train: 0.9929| Val: 0.7580| Test: 0.7820| Eval Time: 0.2286s
Epoch 05| Loss: 0.7869| Acc: 0.9714| Train Time: 0.2330s
Train: 1.0000| Val: 0.7720| Test: 0.7900| Eval Time: 0.2601s
Epoch 06| Loss: 0.6604| Acc: 0.9714| Train Time: 0.1910s
Train: 1.0000| Val: 0.7820| Test: 0.7960| Eval Time: 0.2280s
Epoch 07| Loss: 0.5323| Acc: 0.9714| Train Time: 0.1684s
Train: 1.0000| Val: 0.7840| Test: 0.7980| Eval Time: 0.2732s
Epoch 08| Loss: 0.4106| Acc: 0.9857| Train Time: 0.2543s
Train: 1.0000| Val: 0.7860| Test: 0.7970| Eval Time: 0.3051s
Epoch 09| Loss: 0.3182| Acc: 0.9929| Train Time: 0.2680s
Train: 1.0000| Val: 0.7820| Test: 0.7960| Eval Time: 0.2739s
Epoch 10| Loss: 0.3116| Acc: 0.9929| Train Time: 0.2188s
Train: 1.0000| Val: 0.7820| Test: 0.7930| Eval Time: 0.2926s
Epoch 11| Loss: 0.2267| Acc: 0.9929| Train Time: 0.2655s
Train: 1.0000| Val: 0.7840| Test: 0.7930| Eval Time: 0.2770s
Epoch 12| Loss: 0.1667| Acc: 1.0000| Train Time: 0.2181s
Train: 1.0000| Val: 0.7820| Test: 0.7930| Eval Time: 0.2500s
Epoch 13| Loss: 0.1849| Acc: 1.0000| Train Time: 0.2340s
