{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': True,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 4,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K4_s and Cora:

Epoch 01| Loss: 1.9492| Acc: 0.1500| Train Time: 9.9858s
Train: 0.9571| Val: 0.5580| Test: 0.5580| Eval Time: 3.9586s
Epoch 02| Loss: 1.6814| Acc: 0.8643| Train Time: 9.1577s
Train: 0.9857| Val: 0.6820| Test: 0.6870| Eval Time: 4.0216s
Epoch 03| Loss: 1.4488| Acc: 0.9357| Train Time: 9.4319s
Train: 0.9857| Val: 0.7080| Test: 0.7190| Eval Time: 4.1791s
Epoch 04| Loss: 1.2264| Acc: 0.9786| Train Time: 7.4243s
Train: 0.9786| Val: 0.7120| Test: 0.7330| Eval Time: 2.6905s
Epoch 05| Loss: 1.0337| Acc: 0.9857| Train Time: 6.8513s
Train: 0.9786| Val: 0.7160| Test: 0.7410| Eval Time: 2.7296s
Epoch 06| Loss: 0.8437| Acc: 0.9714| Train Time: 8.7820s
Train: 0.9857| Val: 0.7180| Test: 0.7340| Eval Time: 3.4571s
Epoch 07| Loss: 0.6531| Acc: 0.9857| Train Time: 6.4394s
Train: 0.9929| Val: 0.7200| Test: 0.7300| Eval Time: 2.8123s
Epoch 08| Loss: 0.5290| Acc: 0.9786| Train Time: 6.7197s
Train: 0.9929| Val: 0.7160| Test: 0.7240| Eval Time: 3.3559s
Epoch 09| Loss: 0.3929| Acc: 0.9929| Train Time: 6.2912s
Train: 0.9929| Val: 0.7180| Test: 0.7220| Eval Time: 2.7540s
Epoch 10| Loss: 0.3084| Acc: 0.9643| Train Time: 6.7519s
Train: 0.9929| Val: 0.7080| Test: 0.7270| Eval Time: 2.9846s
Epoch 11| Loss: 0.2386| Acc: 0.9786| Train Time: 6.5618s
Train: 0.9929| Val: 0.7020| Test: 0.7080| Eval Time: 3.0732s
Epoch 12| Loss: 0.1815| Acc: 0.9857| Train Time: 7.3089s
Train: 0.9929| Val: 0.7000| Test: 0.7020| Eval Time: 3.9368s
Epoch 13| Loss: 0.1266| Acc: 0.9929| Train Time: 6.7536s
Train: 1.0000| Val: 0.7060| Test: 0.7060| Eval Time: 2.9559s
Epoch 14| Loss: 0.1225| Acc: 0.9786| Train Time: 6.8979s
Train: 1.0000| Val: 0.7120| Test: 0.7100| Eval Time: 3.0159s
Epoch 15| Loss: 0.0718| Acc: 1.0000| Train Time: 6.9205s
Train: 1.0000| Val: 0.7160| Test: 0.7160| Eval Time: 3.1532s
Epoch 16| Loss: 0.0506| Acc: 1.0000| Train Time: 6.6913s
Train: 1.0000| Val: 0.7180| Test: 0.7240| Eval Time: 2.7041s
Epoch 17| Loss: 0.0814| Acc: 0.9929| Train Time: 6.5958s
Train: 1.0000| Val: 0.7180| Test: 0.7240| Eval Time: 3.2924s
Epoch 18| Loss: 0.0464| Acc: 0.9929| Train Time: 6.5170s
Train: 1.0000| Val: 0.7100| Test: 0.7170| Eval Time: 3.1183s
Epoch 19| Loss: 0.0358| Acc: 1.0000| Train Time: 7.0787s
Train: 1.0000| Val: 0.7140| Test: 0.7210| Eval Time: 2.9042s
Epoch 20| Loss: 0.0291| Acc: 1.0000| Train Time: 6.8494s
Train: 1.0000| Val: 0.7140| Test: 0.7180| Eval Time: 2.7320s
Epoch 21| Loss: 0.0197| Acc: 1.0000| Train Time: 6.8602s
Train: 1.0000| Val: 0.7100| Test: 0.7200| Eval Time: 3.2119s
Epoch 22| Loss: 0.0233| Acc: 1.0000| Train Time: 7.0659s
Train: 1.0000| Val: 0.7120| Test: 0.7210| Eval Time: 3.1281s
Epoch 23| Loss: 0.0153| Acc: 1.0000| Train Time: 7.6238s
Train: 1.0000| Val: 0.7100| Test: 0.7140| Eval Time: 2.8807s
Epoch 24| Loss: 0.0211| Acc: 0.9929| Train Time: 6.7515s
Train: 1.0000| Val: 0.6960| Test: 0.7040| Eval Time: 3.9593s
Epoch 25| Loss: 0.0105| Acc: 1.0000| Train Time: 7.1414s
Train: 1.0000| Val: 0.6940| Test: 0.6980| Eval Time: 2.9152s
Epoch 26| Loss: 0.0113| Acc: 1.0000| Train Time: 7.0459s
Train: 1.0000| Val: 0.6900| Test: 0.6940| Eval Time: 2.9515s
Epoch 27| Loss: 0.0068| Acc: 1.0000| Train Time: 6.6118s
Train: 1.0000| Val: 0.6880| Test: 0.6910| Eval Time: 2.7768s
Epoch 28| Loss: 0.0079| Acc: 1.0000| Train Time: 6.4868s
Train: 1.0000| Val: 0.6840| Test: 0.6910| Eval Time: 2.8566s
Epoch 29| Loss: 0.0043| Acc: 1.0000| Train Time: 8.5450s
Train: 1.0000| Val: 0.6820| Test: 0.6890| Eval Time: 3.0766s
Epoch 30| Loss: 0.0054| Acc: 1.0000| Train Time: 6.9515s
Train: 1.0000| Val: 0.6800| Test: 0.6880| Eval Time: 5.0133s
