{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 8,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 4,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': True}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K4_ns and Cora:

Epoch 01| Loss: 2.5780| Acc: 0.1643| Train Time: 0.2080s
Train: 0.2000| Val: 0.1640| Test: 0.1480| Eval Time: 0.0820s
Epoch 02| Loss: 2.3515| Acc: 0.1929| Train Time: 0.0350s
Train: 0.3143| Val: 0.2260| Test: 0.2090| Eval Time: 0.1230s
Epoch 03| Loss: 2.3617| Acc: 0.2143| Train Time: 0.0280s
Train: 0.4357| Val: 0.3280| Test: 0.3340| Eval Time: 0.0890s
Epoch 04| Loss: 2.0073| Acc: 0.3357| Train Time: 0.0280s
Train: 0.5571| Val: 0.4100| Test: 0.4250| Eval Time: 0.0900s
Epoch 05| Loss: 1.7542| Acc: 0.3571| Train Time: 0.0200s
Train: 0.6786| Val: 0.4860| Test: 0.4970| Eval Time: 0.0890s
Epoch 06| Loss: 1.6685| Acc: 0.3929| Train Time: 0.0290s
Train: 0.7500| Val: 0.5280| Test: 0.5680| Eval Time: 0.0880s
Epoch 07| Loss: 1.6612| Acc: 0.4571| Train Time: 0.0260s
Train: 0.7929| Val: 0.5600| Test: 0.6050| Eval Time: 0.0910s
Epoch 08| Loss: 1.5074| Acc: 0.5571| Train Time: 0.0270s
Train: 0.8143| Val: 0.6080| Test: 0.6490| Eval Time: 0.0890s
Epoch 09| Loss: 1.5088| Acc: 0.4357| Train Time: 0.0210s
Train: 0.8286| Val: 0.6200| Test: 0.6670| Eval Time: 0.1070s
Epoch 10| Loss: 1.4819| Acc: 0.4286| Train Time: 0.0210s
Train: 0.8500| Val: 0.6280| Test: 0.6770| Eval Time: 0.0850s
Epoch 11| Loss: 1.4187| Acc: 0.5143| Train Time: 0.0260s
Train: 0.8571| Val: 0.6400| Test: 0.6840| Eval Time: 0.0940s
Epoch 12| Loss: 1.3637| Acc: 0.5357| Train Time: 0.0190s
Train: 0.8786| Val: 0.6440| Test: 0.6870| Eval Time: 0.0870s
Epoch 13| Loss: 1.2304| Acc: 0.5786| Train Time: 0.0280s
Train: 0.8857| Val: 0.6540| Test: 0.6870| Eval Time: 0.1140s
Epoch 14| Loss: 1.3340| Acc: 0.5357| Train Time: 0.0260s
Train: 0.8929| Val: 0.6620| Test: 0.6920| Eval Time: 0.1160s
Epoch 15| Loss: 1.0899| Acc: 0.5857| Train Time: 0.0300s
Train: 0.9071| Val: 0.6620| Test: 0.6970| Eval Time: 0.1110s
