{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 4,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K4_ns and Cora:

Epoch 01| Loss: 1.9624| Acc: 0.1571| Train Time: 0.2680s
Train: 0.6857| Val: 0.4200| Test: 0.4540| Eval Time: 0.1810s
Epoch 02| Loss: 1.6621| Acc: 0.4357| Train Time: 0.0990s
Train: 0.8714| Val: 0.5960| Test: 0.6040| Eval Time: 0.1870s
Epoch 03| Loss: 1.4093| Acc: 0.6429| Train Time: 0.0890s
Train: 0.9357| Val: 0.7340| Test: 0.7620| Eval Time: 0.1740s
Epoch 04| Loss: 1.0959| Acc: 0.7500| Train Time: 0.1040s
Train: 0.9571| Val: 0.7600| Test: 0.7980| Eval Time: 0.1810s
Epoch 05| Loss: 0.8715| Acc: 0.7929| Train Time: 0.1070s
Train: 0.9714| Val: 0.7880| Test: 0.8030| Eval Time: 0.1770s
Epoch 06| Loss: 0.7589| Acc: 0.8429| Train Time: 0.1220s
Train: 0.9786| Val: 0.7800| Test: 0.8110| Eval Time: 0.1970s
Epoch 07| Loss: 0.4817| Acc: 0.9071| Train Time: 0.1340s
Train: 0.9929| Val: 0.7780| Test: 0.8030| Eval Time: 0.1690s
Epoch 08| Loss: 0.5362| Acc: 0.9214| Train Time: 0.0920s
Train: 0.9857| Val: 0.7580| Test: 0.7920| Eval Time: 0.1490s
Epoch 09| Loss: 0.3633| Acc: 0.9286| Train Time: 0.0980s
Train: 0.9857| Val: 0.7560| Test: 0.7840| Eval Time: 0.1610s
Epoch 10| Loss: 0.3093| Acc: 0.9500| Train Time: 0.0970s
Train: 0.9857| Val: 0.7440| Test: 0.7810| Eval Time: 0.1750s
Epoch 11| Loss: 0.2247| Acc: 0.9643| Train Time: 0.1240s
