{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.TRANS: 'TRANS'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': True,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for Trans_K1_s and Cora:

Epoch 01| Loss: 2.0466| Acc: 0.1143| Train Time: 0.3080s
Train: 0.6500| Val: 0.2360| Test: 0.2440| Eval Time: 0.1876s
Epoch 02| Loss: 1.7701| Acc: 0.3143| Train Time: 0.1740s
Train: 0.8786| Val: 0.4140| Test: 0.3970| Eval Time: 0.2340s
Epoch 03| Loss: 1.6226| Acc: 0.3929| Train Time: 0.1690s
Train: 0.9214| Val: 0.4600| Test: 0.4560| Eval Time: 0.2100s
Epoch 04| Loss: 1.4028| Acc: 0.4429| Train Time: 0.1680s
Train: 0.9786| Val: 0.4980| Test: 0.4990| Eval Time: 0.2100s
Epoch 05| Loss: 1.0634| Acc: 0.7500| Train Time: 0.2220s
Train: 0.9929| Val: 0.5340| Test: 0.5220| Eval Time: 0.2676s
Epoch 06| Loss: 0.8748| Acc: 0.7214| Train Time: 0.1810s
Train: 0.9929| Val: 0.5560| Test: 0.5240| Eval Time: 0.2120s
Epoch 07| Loss: 0.7742| Acc: 0.7857| Train Time: 0.1880s
Train: 1.0000| Val: 0.5620| Test: 0.5390| Eval Time: 0.2360s
Epoch 08| Loss: 0.4652| Acc: 0.8786| Train Time: 0.1900s
Train: 1.0000| Val: 0.5620| Test: 0.5420| Eval Time: 0.2621s
Epoch 09| Loss: 0.3830| Acc: 0.8929| Train Time: 0.1470s
Train: 1.0000| Val: 0.5560| Test: 0.5420| Eval Time: 0.2005s
Epoch 10| Loss: 0.3322| Acc: 0.9214| Train Time: 0.1950s
Train: 1.0000| Val: 0.5460| Test: 0.5390| Eval Time: 0.2160s
Epoch 11| Loss: 0.2273| Acc: 0.9571| Train Time: 0.1740s
Train: 1.0000| Val: 0.5500| Test: 0.5390| Eval Time: 0.1906s
Epoch 12| Loss: 0.2376| Acc: 0.9357| Train Time: 0.1840s
Train: 1.0000| Val: 0.5360| Test: 0.5400| Eval Time: 0.2090s
Epoch 13| Loss: 0.2141| Acc: 0.9286| Train Time: 0.1680s
Train: 1.0000| Val: 0.5460| Test: 0.5400| Eval Time: 0.2310s
Epoch 14| Loss: 0.1118| Acc: 0.9714| Train Time: 0.1580s
Train: 1.0000| Val: 0.5380| Test: 0.5420| Eval Time: 0.1820s
Epoch 15| Loss: 0.0773| Acc: 0.9714| Train Time: 0.1981s
Train: 1.0000| Val: 0.5460| Test: 0.5440| Eval Time: 0.2450s
Epoch 16| Loss: 0.0908| Acc: 0.9786| Train Time: 0.1900s
Train: 1.0000| Val: 0.5500| Test: 0.5470| Eval Time: 0.1880s
Epoch 17| Loss: 0.0809| Acc: 0.9714| Train Time: 0.2110s
Train: 1.0000| Val: 0.5520| Test: 0.5490| Eval Time: 0.2180s
Epoch 18| Loss: 0.0770| Acc: 0.9786| Train Time: 0.1660s
Train: 1.0000| Val: 0.5500| Test: 0.5490| Eval Time: 0.2356s
Epoch 19| Loss: 0.0503| Acc: 0.9929| Train Time: 0.1840s
Train: 1.0000| Val: 0.5460| Test: 0.5470| Eval Time: 0.1990s
Epoch 20| Loss: 0.1731| Acc: 0.9500| Train Time: 0.1730s
Train: 1.0000| Val: 0.5540| Test: 0.5480| Eval Time: 0.1950s
Epoch 21| Loss: 0.0454| Acc: 0.9929| Train Time: 0.1870s
Train: 1.0000| Val: 0.5560| Test: 0.5500| Eval Time: 0.2060s
Epoch 22| Loss: 0.0984| Acc: 0.9929| Train Time: 0.1815s
Train: 1.0000| Val: 0.5600| Test: 0.5530| Eval Time: 0.2190s
Epoch 23| Loss: 0.0343| Acc: 0.9929| Train Time: 0.2010s
Train: 1.0000| Val: 0.5680| Test: 0.5560| Eval Time: 0.2526s
Epoch 24| Loss: 0.0381| Acc: 0.9929| Train Time: 0.2270s
Train: 1.0000| Val: 0.5640| Test: 0.5590| Eval Time: 0.2990s
Epoch 25| Loss: 0.0453| Acc: 0.9786| Train Time: 0.2337s
Train: 1.0000| Val: 0.5700| Test: 0.5610| Eval Time: 0.3120s
Epoch 26| Loss: 0.0418| Acc: 0.9786| Train Time: 0.2231s
Train: 1.0000| Val: 0.5740| Test: 0.5650| Eval Time: 0.3057s
Epoch 27| Loss: 0.0788| Acc: 0.9643| Train Time: 0.2590s
Train: 1.0000| Val: 0.5700| Test: 0.5700| Eval Time: 0.3486s
Epoch 28| Loss: 0.0329| Acc: 0.9929| Train Time: 0.2900s
Train: 1.0000| Val: 0.5740| Test: 0.5670| Eval Time: 0.2981s
Epoch 29| Loss: 0.1648| Acc: 0.9643| Train Time: 0.2530s
Train: 1.0000| Val: 0.5720| Test: 0.5700| Eval Time: 0.3011s
Epoch 30| Loss: 0.0907| Acc: 0.9714| Train Time: 0.2251s
