{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.TRANS: 'TRANS'>,
    'nbor_degree': 1,
    'num_heads': 8,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for Trans_K1_s and Cora:

Epoch 01| Loss: 1.9823| Acc: 0.0857| Train Time: 1.1870s
Train: 0.9000| Val: 0.5140| Test: 0.5060| Eval Time: 0.8546s
Epoch 02| Loss: 1.2109| Acc: 0.7000| Train Time: 0.9571s
Train: 0.9786| Val: 0.5240| Test: 0.5480| Eval Time: 0.7470s
Epoch 03| Loss: 0.2914| Acc: 0.9643| Train Time: 1.0100s
Train: 1.0000| Val: 0.5840| Test: 0.5930| Eval Time: 0.7320s
Epoch 04| Loss: 0.0607| Acc: 0.9857| Train Time: 1.0695s
Train: 1.0000| Val: 0.6100| Test: 0.5830| Eval Time: 0.8210s
Epoch 05| Loss: 0.0090| Acc: 1.0000| Train Time: 0.9750s
Train: 1.0000| Val: 0.6140| Test: 0.5890| Eval Time: 0.7561s
Epoch 06| Loss: 0.0006| Acc: 1.0000| Train Time: 1.0181s
Train: 1.0000| Val: 0.6180| Test: 0.5830| Eval Time: 0.6677s
Epoch 07| Loss: 0.0006| Acc: 1.0000| Train Time: 0.9530s
Train: 1.0000| Val: 0.6160| Test: 0.5820| Eval Time: 0.7200s
Epoch 08| Loss: 0.0006| Acc: 1.0000| Train Time: 0.9351s
Train: 1.0000| Val: 0.6060| Test: 0.5780| Eval Time: 0.8526s
Epoch 09| Loss: 0.0001| Acc: 1.0000| Train Time: 1.1926s
Train: 1.0000| Val: 0.6040| Test: 0.5730| Eval Time: 0.7170s
Epoch 10| Loss: 0.0000| Acc: 1.0000| Train Time: 1.1125s
Train: 1.0000| Val: 0.6040| Test: 0.5700| Eval Time: 0.7820s
Epoch 11| Loss: 0.0000| Acc: 1.0000| Train Time: 1.0686s
Train: 1.0000| Val: 0.5980| Test: 0.5730| Eval Time: 0.6661s
Epoch 12| Loss: 0.0000| Acc: 1.0000| Train Time: 1.3970s
Train: 1.0000| Val: 0.5940| Test: 0.5720| Eval Time: 0.6765s
Epoch 13| Loss: 0.0000| Acc: 1.0000| Train Time: 1.6320s
Train: 1.0000| Val: 0.5920| Test: 0.5680| Eval Time: 0.7017s
Epoch 14| Loss: 0.0000| Acc: 1.0000| Train Time: 1.7971s
Train: 1.0000| Val: 0.5940| Test: 0.5680| Eval Time: 0.8380s
Epoch 15| Loss: 0.0000| Acc: 1.0000| Train Time: 2.0700s
Train: 1.0000| Val: 0.5920| Test: 0.5680| Eval Time: 0.9981s
Epoch 16| Loss: 0.0000| Acc: 1.0000| Train Time: 2.3977s
Train: 1.0000| Val: 0.5880| Test: 0.5700| Eval Time: 1.0700s
