{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CITESEER: 'CiteSeer'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 4,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: CiteSeer

Run 01 for GatV1_K1_s and CiteSeer:

Epoch 01| Loss: 1.8098| Acc: 0.1833| Train Time: 2.6971s
Train: 0.8333| Val: 0.6040| Test: 0.5970| Eval Time: 4.3917s
Epoch 02| Loss: 1.4178| Acc: 0.5833| Train Time: 0.7371s
Train: 0.9333| Val: 0.7120| Test: 0.7010| Eval Time: 0.1580s
Epoch 03| Loss: 0.9434| Acc: 0.8417| Train Time: 0.7000s
Train: 0.9583| Val: 0.6920| Test: 0.6910| Eval Time: 0.1610s
Epoch 04| Loss: 0.6453| Acc: 0.8667| Train Time: 0.0250s
Train: 0.9750| Val: 0.6980| Test: 0.6860| Eval Time: 0.1650s
Epoch 05| Loss: 0.4084| Acc: 0.8917| Train Time: 0.0220s
Train: 0.9917| Val: 0.7100| Test: 0.6980| Eval Time: 0.1780s
Epoch 06| Loss: 0.1895| Acc: 0.9667| Train Time: 0.0270s
Train: 1.0000| Val: 0.7040| Test: 0.6940| Eval Time: 0.1840s
Epoch 07| Loss: 0.0780| Acc: 0.9917| Train Time: 0.0250s
Train: 1.0000| Val: 0.6980| Test: 0.6940| Eval Time: 0.2030s
Epoch 08| Loss: 0.1314| Acc: 0.9667| Train Time: 0.0250s
Train: 1.0000| Val: 0.6860| Test: 0.6890| Eval Time: 0.1951s
Epoch 09| Loss: 0.0368| Acc: 0.9917| Train Time: 0.0280s
Train: 1.0000| Val: 0.6920| Test: 0.6870| Eval Time: 0.2010s
Epoch 10| Loss: 0.0153| Acc: 1.0000| Train Time: 0.0230s
Train: 0.9917| Val: 0.6920| Test: 0.6870| Eval Time: 0.1876s
Epoch 11| Loss: 0.0693| Acc: 0.9750| Train Time: 0.0280s
Train: 1.0000| Val: 0.6780| Test: 0.6840| Eval Time: 0.1830s
Epoch 12| Loss: 0.0071| Acc: 1.0000| Train Time: 0.0250s
Train: 1.0000| Val: 0.6760| Test: 0.6770| Eval Time: 0.1840s
Epoch 13| Loss: 0.0152| Acc: 0.9917| Train Time: 0.0240s
Train: 0.9917| Val: 0.6600| Test: 0.6600| Eval Time: 0.1880s
Epoch 14| Loss: 0.0308| Acc: 0.9833| Train Time: 0.0270s
Train: 0.9917| Val: 0.6560| Test: 0.6520| Eval Time: 0.2110s
Epoch 15| Loss: 0.0037| Acc: 1.0000| Train Time: 0.0230s
Train: 0.9917| Val: 0.6520| Test: 0.6480| Eval Time: 0.1870s
Epoch 16| Loss: 0.0615| Acc: 0.9833| Train Time: 0.0230s
Train: 1.0000| Val: 0.6620| Test: 0.6560| Eval Time: 0.1740s
Epoch 17| Loss: 0.1268| Acc: 0.9833| Train Time: 0.0270s
Train: 1.0000| Val: 0.6640| Test: 0.6710| Eval Time: 0.1840s
Epoch 18| Loss: 0.0584| Acc: 0.9833| Train Time: 0.0250s
Train: 1.0000| Val: 0.6640| Test: 0.6690| Eval Time: 0.1670s
Epoch 19| Loss: 0.0200| Acc: 0.9917| Train Time: 0.0260s
Train: 1.0000| Val: 0.6660| Test: 0.6660| Eval Time: 0.1740s
Epoch 20| Loss: 0.0489| Acc: 0.9667| Train Time: 0.0250s
Train: 1.0000| Val: 0.6680| Test: 0.6700| Eval Time: 0.1830s
Epoch 21| Loss: 0.0007| Acc: 1.0000| Train Time: 0.0260s
Train: 1.0000| Val: 0.6780| Test: 0.6710| Eval Time: 0.1750s
Epoch 22| Loss: 0.0108| Acc: 0.9917| Train Time: 0.0250s
Train: 1.0000| Val: 0.6880| Test: 0.6710| Eval Time: 0.1560s
Epoch 23| Loss: 0.0263| Acc: 0.9833| Train Time: 0.0240s
Train: 1.0000| Val: 0.6800| Test: 0.6720| Eval Time: 0.1621s
Epoch 24| Loss: 0.0191| Acc: 0.9917| Train Time: 0.0230s
Train: 1.0000| Val: 0.6740| Test: 0.6700| Eval Time: 0.1740s
Epoch 25| Loss: 0.0024| Acc: 1.0000| Train Time: 0.0280s
Train: 1.0000| Val: 0.6600| Test: 0.6680| Eval Time: 0.1710s
Epoch 26| Loss: 0.0085| Acc: 0.9917| Train Time: 0.0220s
Train: 1.0000| Val: 0.6620| Test: 0.6660| Eval Time: 0.1670s
Epoch 27| Loss: 0.0000| Acc: 1.0000| Train Time: 0.0240s
Train: 1.0000| Val: 0.6600| Test: 0.6610| Eval Time: 0.1750s
Epoch 28| Loss: 0.0029| Acc: 1.0000| Train Time: 0.0220s
Train: 1.0000| Val: 0.6540| Test: 0.6600| Eval Time: 0.1665s
Epoch 29| Loss: 0.0325| Acc: 0.9833| Train Time: 0.0230s
Train: 1.0000| Val: 0.6600| Test: 0.6550| Eval Time: 0.1750s
Epoch 30| Loss: 0.0247| Acc: 0.9917| Train Time: 0.0240s
Train: 1.0000| Val: 0.6580| Test: 0.6570| Eval Time: 0.1630s
Epoch 31| Loss: 0.0924| Acc: 0.9833| Train Time: 0.0250s
Train: 1.0000| Val: 0.6600| Test: 0.6570| Eval Time: 0.1971s
Epoch 32| Loss: 0.0023| Acc: 1.0000| Train Time: 0.0280s
Train: 1.0000| Val: 0.6700| Test: 0.6550| Eval Time: 0.1800s

Run 02 for GatV1_K1_s and CiteSeer:

Epoch 01| Loss: 1.8810| Acc: 0.1417| Train Time: 0.0340s
