{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.PUBMED: 'PubMed'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.01,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 8,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: PubMed

Run 01 for GatV1_K1_s and PubMed:

Epoch 01| Loss: 1.1118| Acc: 0.2667| Train Time: 1.4299s
Train: 0.4667| Val: 0.2580| Test: 0.2480| Eval Time: 8.5853s
Epoch 02| Loss: 0.9011| Acc: 0.5167| Train Time: 0.9750s
Train: 0.5333| Val: 0.5400| Test: 0.5640| Eval Time: 2.0301s
Epoch 03| Loss: 4.9932| Acc: 0.5667| Train Time: 0.8251s
Train: 0.5833| Val: 0.5020| Test: 0.4910| Eval Time: 1.7695s
Epoch 04| Loss: 3.4137| Acc: 0.6000| Train Time: 0.0770s
Train: 0.3333| Val: 0.1960| Test: 0.1800| Eval Time: 1.8175s
Epoch 05| Loss: 4.8871| Acc: 0.3500| Train Time: 0.0660s
Train: 0.4167| Val: 0.4040| Test: 0.4290| Eval Time: 1.7705s
Epoch 06| Loss: 5.0205| Acc: 0.4333| Train Time: 0.0720s
Train: 0.4333| Val: 0.4220| Test: 0.4110| Eval Time: 1.6787s
Epoch 07| Loss: 2.3256| Acc: 0.4000| Train Time: 0.0730s
Train: 0.6667| Val: 0.4400| Test: 0.4120| Eval Time: 1.7725s
Epoch 08| Loss: 1.2881| Acc: 0.6500| Train Time: 0.0650s
Train: 0.8333| Val: 0.5480| Test: 0.5480| Eval Time: 1.7100s
Epoch 09| Loss: 0.6534| Acc: 0.8500| Train Time: 0.0620s
Train: 0.8167| Val: 0.6080| Test: 0.6350| Eval Time: 1.6437s
Epoch 10| Loss: 0.9799| Acc: 0.8000| Train Time: 0.0630s
Train: 0.8667| Val: 0.6320| Test: 0.6570| Eval Time: 1.6861s
Epoch 11| Loss: 0.7049| Acc: 0.8667| Train Time: 0.0620s
Train: 0.9500| Val: 0.7500| Test: 0.7400| Eval Time: 1.6701s
Epoch 12| Loss: 0.1703| Acc: 0.9667| Train Time: 0.0670s
Train: 0.9833| Val: 0.7560| Test: 0.7470| Eval Time: 1.6556s
Epoch 13| Loss: 0.0791| Acc: 0.9833| Train Time: 0.0620s
Train: 1.0000| Val: 0.7260| Test: 0.7100| Eval Time: 1.6196s
Epoch 14| Loss: 0.0490| Acc: 0.9833| Train Time: 0.0680s
Train: 0.9667| Val: 0.7080| Test: 0.6830| Eval Time: 1.5921s
Epoch 15| Loss: 0.2275| Acc: 0.9667| Train Time: 0.0660s
Train: 0.9833| Val: 0.6900| Test: 0.6590| Eval Time: 1.7451s
Epoch 16| Loss: 0.0370| Acc: 0.9833| Train Time: 0.0740s
Train: 0.9833| Val: 0.6880| Test: 0.6540| Eval Time: 2.7110s
Epoch 17| Loss: 0.0010| Acc: 1.0000| Train Time: 0.0730s
