{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 1,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K1_D3_s and Cora:

Epoch 01| Loss: 2.0412| Acc: 0.1286| Train Time: 0.2010s
Train: 0.6786| Val: 0.4780| Test: 0.5200| Eval Time: 0.1160s
Epoch 02| Loss: 1.7572| Acc: 0.3143| Train Time: 0.0645s
Train: 0.8286| Val: 0.6280| Test: 0.6650| Eval Time: 0.1290s
Epoch 03| Loss: 1.6046| Acc: 0.4786| Train Time: 0.0600s
Train: 0.9143| Val: 0.6800| Test: 0.7000| Eval Time: 0.1200s
Epoch 04| Loss: 1.4764| Acc: 0.5357| Train Time: 0.0590s
Train: 0.9214| Val: 0.7180| Test: 0.7310| Eval Time: 0.1320s
Epoch 05| Loss: 1.2173| Acc: 0.6786| Train Time: 0.0600s
Train: 0.9714| Val: 0.7260| Test: 0.7470| Eval Time: 0.1370s
Epoch 06| Loss: 0.9725| Acc: 0.7929| Train Time: 0.0610s
Train: 0.9714| Val: 0.7440| Test: 0.7650| Eval Time: 0.1275s
Epoch 07| Loss: 1.0178| Acc: 0.7357| Train Time: 0.0570s
Train: 0.9786| Val: 0.7620| Test: 0.7810| Eval Time: 0.1210s
Epoch 08| Loss: 0.8207| Acc: 0.8286| Train Time: 0.0590s
Train: 0.9929| Val: 0.7600| Test: 0.7950| Eval Time: 0.1350s
Epoch 09| Loss: 0.6943| Acc: 0.8214| Train Time: 0.0670s
Train: 0.9929| Val: 0.7740| Test: 0.8120| Eval Time: 0.1170s
Epoch 10| Loss: 0.6456| Acc: 0.8500| Train Time: 0.0680s
Train: 0.9857| Val: 0.7900| Test: 0.8220| Eval Time: 0.1276s
Epoch 11| Loss: 0.4907| Acc: 0.8857| Train Time: 0.0550s
Train: 0.9857| Val: 0.7940| Test: 0.8210| Eval Time: 0.1300s
Epoch 12| Loss: 0.4594| Acc: 0.9357| Train Time: 0.0630s
Train: 0.9857| Val: 0.7880| Test: 0.8220| Eval Time: 0.1350s
Epoch 13| Loss: 0.3883| Acc: 0.8929| Train Time: 0.0710s
Train: 0.9857| Val: 0.7820| Test: 0.8190| Eval Time: 0.1410s
Epoch 14| Loss: 0.3363| Acc: 0.9214| Train Time: 0.0620s
Train: 0.9929| Val: 0.7820| Test: 0.8140| Eval Time: 0.1510s
Epoch 15| Loss: 0.4053| Acc: 0.9429| Train Time: 0.0835s
Train: 0.9929| Val: 0.7820| Test: 0.8160| Eval Time: 0.1380s
Epoch 16| Loss: 0.3440| Acc: 0.9071| Train Time: 0.0740s
Train: 0.9929| Val: 0.7840| Test: 0.8200| Eval Time: 0.1650s
Epoch 17| Loss: 0.2353| Acc: 0.9500| Train Time: 0.0860s
Train: 0.9929| Val: 0.7840| Test: 0.8200| Eval Time: 0.1750s
Epoch 18| Loss: 0.2556| Acc: 0.9643| Train Time: 0.0910s
Train: 1.0000| Val: 0.7840| Test: 0.8220| Eval Time: 0.1660s
Epoch 19| Loss: 0.2612| Acc: 0.9500| Train Time: 0.0830s
Train: 1.0000| Val: 0.7860| Test: 0.8160| Eval Time: 0.1950s
Epoch 20| Loss: 0.2049| Acc: 0.9500| Train Time: 0.1100s
Train: 1.0000| Val: 0.7800| Test: 0.8160| Eval Time: 0.1910s
Epoch 21| Loss: 0.1447| Acc: 0.9786| Train Time: 0.0960s
Train: 1.0000| Val: 0.7780| Test: 0.8140| Eval Time: 0.1800s
Epoch 22| Loss: 0.1246| Acc: 0.9857| Train Time: 0.0870s
Train: 1.0000| Val: 0.7760| Test: 0.8080| Eval Time: 0.2030s
Epoch 23| Loss: 0.1578| Acc: 0.9643| Train Time: 0.0830s
Train: 1.0000| Val: 0.7700| Test: 0.8080| Eval Time: 0.1760s
Epoch 24| Loss: 0.1553| Acc: 0.9643| Train Time: 0.0890s
Train: 1.0000| Val: 0.7700| Test: 0.8080| Eval Time: 0.1680s
Epoch 25| Loss: 0.2114| Acc: 0.9643| Train Time: 0.0850s
Train: 1.0000| Val: 0.7680| Test: 0.8070| Eval Time: 0.1860s
Epoch 26| Loss: 0.1029| Acc: 1.0000| Train Time: 0.0800s
Train: 1.0000| Val: 0.7720| Test: 0.8070| Eval Time: 0.1660s
Epoch 27| Loss: 0.1110| Acc: 0.9857| Train Time: 0.0840s
Train: 1.0000| Val: 0.7720| Test: 0.8040| Eval Time: 0.1450s
Epoch 28| Loss: 0.0863| Acc: 0.9786| Train Time: 0.0920s
Train: 1.0000| Val: 0.7740| Test: 0.8010| Eval Time: 0.2370s
Epoch 29| Loss: 0.0922| Acc: 0.9643| Train Time: 0.1070s
Train: 1.0000| Val: 0.7660| Test: 0.7990| Eval Time: 0.1890s
Epoch 30| Loss: 0.0542| Acc: 0.9929| Train Time: 0.0850s
Train: 1.0000| Val: 0.7660| Test: 0.7990| Eval Time: 0.1610s
Epoch 31| Loss: 0.0564| Acc: 0.9929| Train Time: 0.0930s
