{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'aggr_mode': <AggrMode.NONE: 'None'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.PUBMED: 'PubMed'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 128,
    'lr': 0.01,
    'model_type': <ModelType.GATV2: 'GAT-V2'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: PubMed

Run 01 for GatV2_K1_D2_s_ and PubMed:

Epoch 01| Loss: 1.0854| Acc: 0.4667| Train Time: 1.1139s
Train: 0.9167| Val: 0.6940| Test: 0.7090| Eval Time: 3.1863s
Epoch 02| Loss: 1.0023| Acc: 0.5667| Train Time: 0.2058s
Train: 0.9167| Val: 0.6800| Test: 0.6750| Eval Time: 3.0980s
Epoch 03| Loss: 0.8950| Acc: 0.7333| Train Time: 0.1118s
Train: 0.9167| Val: 0.7120| Test: 0.7140| Eval Time: 3.0070s
Epoch 04| Loss: 0.7889| Acc: 0.8667| Train Time: 0.1690s
Train: 0.9333| Val: 0.7320| Test: 0.7230| Eval Time: 2.8247s
Epoch 05| Loss: 0.6956| Acc: 0.8667| Train Time: 0.2776s
Train: 0.9500| Val: 0.7080| Test: 0.6980| Eval Time: 2.4054s
Epoch 06| Loss: 0.5967| Acc: 0.8333| Train Time: 0.1037s
Train: 0.9500| Val: 0.7080| Test: 0.6960| Eval Time: 2.9161s
Epoch 07| Loss: 0.4978| Acc: 0.9500| Train Time: 0.1760s
Train: 0.9667| Val: 0.7180| Test: 0.7150| Eval Time: 3.1126s
Epoch 08| Loss: 0.3908| Acc: 0.9500| Train Time: 0.1067s
Train: 0.9833| Val: 0.7380| Test: 0.7200| Eval Time: 3.5987s
Epoch 09| Loss: 0.3186| Acc: 0.9833| Train Time: 0.3935s
Train: 0.9667| Val: 0.7520| Test: 0.7410| Eval Time: 3.3043s
Epoch 10| Loss: 0.2820| Acc: 0.9833| Train Time: 0.1821s
Train: 0.9667| Val: 0.7500| Test: 0.7410| Eval Time: 3.4960s
Epoch 11| Loss: 0.2733| Acc: 0.9500| Train Time: 0.1963s
Train: 0.9833| Val: 0.7620| Test: 0.7390| Eval Time: 3.5190s
Epoch 12| Loss: 0.1649| Acc: 1.0000| Train Time: 0.1757s
Train: 0.9833| Val: 0.7700| Test: 0.7360| Eval Time: 3.1213s
Epoch 13| Loss: 0.2013| Acc: 0.9833| Train Time: 0.1743s
Train: 0.9833| Val: 0.7540| Test: 0.7430| Eval Time: 3.3067s
Epoch 14| Loss: 0.1960| Acc: 0.9833| Train Time: 0.1139s
Train: 1.0000| Val: 0.7520| Test: 0.7370| Eval Time: 3.2856s
Epoch 15| Loss: 0.1460| Acc: 0.9667| Train Time: 0.1029s
Train: 1.0000| Val: 0.7540| Test: 0.7360| Eval Time: 3.0051s
Epoch 16| Loss: 0.0908| Acc: 1.0000| Train Time: 0.1114s
Train: 1.0000| Val: 0.7640| Test: 0.7510| Eval Time: 3.1009s
Epoch 17| Loss: 0.0766| Acc: 1.0000| Train Time: 0.1924s
Train: 1.0000| Val: 0.7560| Test: 0.7580| Eval Time: 3.3005s
Epoch 18| Loss: 0.0695| Acc: 1.0000| Train Time: 0.1052s
Train: 1.0000| Val: 0.7600| Test: 0.7590| Eval Time: 3.1672s
Epoch 19| Loss: 0.0768| Acc: 1.0000| Train Time: 0.1270s
Train: 1.0000| Val: 0.7520| Test: 0.7560| Eval Time: 2.9998s
Epoch 20| Loss: 0.0357| Acc: 1.0000| Train Time: 0.1713s
Train: 1.0000| Val: 0.7560| Test: 0.7550| Eval Time: 2.8964s
Epoch 21| Loss: 0.0406| Acc: 1.0000| Train Time: 0.1298s
Train: 1.0000| Val: 0.7580| Test: 0.7550| Eval Time: 2.8893s
Epoch 22| Loss: 0.0336| Acc: 1.0000| Train Time: 0.1120s
Train: 1.0000| Val: 0.7600| Test: 0.7570| Eval Time: 2.5958s
Epoch 23| Loss: 0.0306| Acc: 0.9833| Train Time: 0.1804s
Train: 1.0000| Val: 0.7720| Test: 0.7630| Eval Time: 3.0137s
Epoch 24| Loss: 0.0326| Acc: 1.0000| Train Time: 0.1053s
Train: 1.0000| Val: 0.7780| Test: 0.7670| Eval Time: 2.6995s
Epoch 25| Loss: 0.0230| Acc: 1.0000| Train Time: 0.1034s
Train: 1.0000| Val: 0.7720| Test: 0.7660| Eval Time: 2.8926s
Epoch 26| Loss: 0.0124| Acc: 1.0000| Train Time: 0.1064s
Train: 1.0000| Val: 0.7660| Test: 0.7620| Eval Time: 2.6967s
Epoch 27| Loss: 0.0240| Acc: 1.0000| Train Time: 0.3849s
Train: 1.0000| Val: 0.7600| Test: 0.7600| Eval Time: 3.0088s
Epoch 28| Loss: 0.0158| Acc: 1.0000| Train Time: 0.0954s
Train: 1.0000| Val: 0.7600| Test: 0.7560| Eval Time: 2.9792s
