{   'adj_mode': <AdjacencyMode.Partial: 'Partial'>,
    'aggr_mode': <AggrMode.MEAN: 'Mean'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CITESEER: 'CiteSeer'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 2,
    'num_heads': 4,
    'num_of_epochs': 500,
    'num_of_layers': 3,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: CiteSeer

Run 01 for GatV1_K2_D3_s_AggrMode.MEAN and CiteSeer:

Epoch 01| Loss: 1.8019| Acc: 0.1333| Train Time: 10.7373s
Train: 0.9333| Val: 0.6120| Test: 0.6050| Eval Time: 10.9279s
Epoch 02| Loss: 1.2628| Acc: 0.7750| Train Time: 1.2455s
Train: 0.9250| Val: 0.7120| Test: 0.7020| Eval Time: 0.7326s
Epoch 03| Loss: 0.6397| Acc: 0.8917| Train Time: 1.3227s
Train: 0.9333| Val: 0.7040| Test: 0.6980| Eval Time: 1.0825s
Epoch 04| Loss: 0.2939| Acc: 0.9167| Train Time: 0.1183s
Train: 0.9583| Val: 0.6720| Test: 0.6780| Eval Time: 0.7781s
Epoch 05| Loss: 0.1283| Acc: 0.9583| Train Time: 0.1133s
Train: 0.9833| Val: 0.6660| Test: 0.6620| Eval Time: 0.8917s
Epoch 06| Loss: 0.1100| Acc: 0.9583| Train Time: 0.1055s
Train: 0.9917| Val: 0.6480| Test: 0.6560| Eval Time: 0.8065s
Epoch 07| Loss: 0.0349| Acc: 0.9917| Train Time: 0.1729s
Train: 0.9750| Val: 0.6400| Test: 0.6540| Eval Time: 0.7948s
Epoch 08| Loss: 0.0822| Acc: 0.9750| Train Time: 0.1042s
Train: 0.9667| Val: 0.6460| Test: 0.6570| Eval Time: 1.0147s
Epoch 09| Loss: 0.1005| Acc: 0.9667| Train Time: 0.1777s
Train: 1.0000| Val: 0.6440| Test: 0.6510| Eval Time: 0.9206s
Epoch 10| Loss: 0.0532| Acc: 0.9917| Train Time: 0.1973s
Train: 0.9833| Val: 0.6540| Test: 0.6610| Eval Time: 0.7141s
Epoch 11| Loss: 0.0548| Acc: 0.9667| Train Time: 0.1039s
Train: 0.9750| Val: 0.6620| Test: 0.6600| Eval Time: 0.8243s
Epoch 12| Loss: 0.0600| Acc: 0.9750| Train Time: 0.1057s
Train: 0.9833| Val: 0.6620| Test: 0.6670| Eval Time: 0.8757s
Epoch 13| Loss: 0.0446| Acc: 0.9750| Train Time: 0.1152s
