{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'aggr_mode': <AggrMode.NONE: 'None'>,
    'batch_size': 256,
    'computationBefore': False,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 64,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 2,
    'num_heads': 4,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 3,
    'num_workers': 0,
    'patience_period': 30,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: False
Used Dataset: Cora

Run 01 for GatV1_K2_D2_s_ and Cora:

Epoch 01| Loss: 1.9671| Acc: 0.1571| Train Time: 0.4624s
Train: 0.9571| Val: 0.6880| Test: 0.7190| Eval Time: 0.4184s
Epoch 02| Loss: 1.4501| Acc: 0.8643| Train Time: 0.3443s
Train: 0.9857| Val: 0.7520| Test: 0.7740| Eval Time: 0.4904s
Epoch 03| Loss: 0.9953| Acc: 0.9571| Train Time: 0.3123s
Train: 0.9929| Val: 0.7620| Test: 0.7860| Eval Time: 0.4164s
Epoch 04| Loss: 0.6688| Acc: 0.9929| Train Time: 0.3373s
Train: 0.9929| Val: 0.7720| Test: 0.7900| Eval Time: 0.4174s
Epoch 05| Loss: 0.4200| Acc: 0.9857| Train Time: 0.3313s
Train: 0.9929| Val: 0.7780| Test: 0.7970| Eval Time: 0.4184s
Epoch 06| Loss: 0.2408| Acc: 0.9857| Train Time: 0.3583s
Train: 1.0000| Val: 0.7940| Test: 0.7950| Eval Time: 0.4154s
Epoch 07| Loss: 0.1431| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.8000| Test: 0.7950| Eval Time: 0.4114s
Epoch 08| Loss: 0.0622| Acc: 1.0000| Train Time: 0.3123s
Train: 1.0000| Val: 0.8000| Test: 0.7990| Eval Time: 0.4134s
Epoch 09| Loss: 0.0657| Acc: 1.0000| Train Time: 0.3193s
Train: 1.0000| Val: 0.7960| Test: 0.8010| Eval Time: 0.4064s
Epoch 10| Loss: 0.0326| Acc: 1.0000| Train Time: 0.3203s
Train: 1.0000| Val: 0.7960| Test: 0.8000| Eval Time: 0.4144s
Epoch 11| Loss: 0.0166| Acc: 1.0000| Train Time: 0.3113s
Train: 1.0000| Val: 0.7920| Test: 0.8020| Eval Time: 0.4054s
Epoch 12| Loss: 0.0098| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7940| Test: 0.8050| Eval Time: 0.4044s
Epoch 13| Loss: 0.0081| Acc: 1.0000| Train Time: 0.3053s
Train: 1.0000| Val: 0.7900| Test: 0.8030| Eval Time: 0.4114s
Epoch 14| Loss: 0.0081| Acc: 1.0000| Train Time: 0.3113s
Train: 1.0000| Val: 0.7900| Test: 0.8020| Eval Time: 0.4214s
Epoch 15| Loss: 0.0025| Acc: 1.0000| Train Time: 0.3143s
Train: 1.0000| Val: 0.7860| Test: 0.8000| Eval Time: 0.4014s
Epoch 16| Loss: 0.0049| Acc: 1.0000| Train Time: 0.3333s
Train: 1.0000| Val: 0.7840| Test: 0.8010| Eval Time: 0.4024s
Epoch 17| Loss: 0.0027| Acc: 1.0000| Train Time: 0.3193s
Train: 1.0000| Val: 0.7840| Test: 0.8010| Eval Time: 0.4354s
Epoch 18| Loss: 0.0025| Acc: 1.0000| Train Time: 0.3353s
Train: 1.0000| Val: 0.7820| Test: 0.7990| Eval Time: 0.4424s
Epoch 19| Loss: 0.0011| Acc: 1.0000| Train Time: 0.3273s
Train: 1.0000| Val: 0.7820| Test: 0.7980| Eval Time: 0.4164s
Epoch 20| Loss: 0.0036| Acc: 1.0000| Train Time: 0.3283s
Train: 1.0000| Val: 0.7780| Test: 0.7970| Eval Time: 0.3984s
Epoch 21| Loss: 0.0011| Acc: 1.0000| Train Time: 0.3223s
Train: 1.0000| Val: 0.7780| Test: 0.7960| Eval Time: 0.4094s
Epoch 22| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3123s
Train: 1.0000| Val: 0.7760| Test: 0.7930| Eval Time: 0.4194s
Epoch 23| Loss: 0.0010| Acc: 1.0000| Train Time: 0.3193s
Train: 1.0000| Val: 0.7740| Test: 0.7930| Eval Time: 0.4074s
Epoch 24| Loss: 0.0005| Acc: 1.0000| Train Time: 0.3353s
Train: 1.0000| Val: 0.7720| Test: 0.7910| Eval Time: 0.4174s
Epoch 25| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7720| Test: 0.7910| Eval Time: 0.4154s
Epoch 26| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3123s
Train: 1.0000| Val: 0.7700| Test: 0.7910| Eval Time: 0.4154s
Epoch 27| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3163s
Train: 1.0000| Val: 0.7680| Test: 0.7920| Eval Time: 0.4094s
Epoch 28| Loss: 0.0004| Acc: 1.0000| Train Time: 0.3263s
Train: 1.0000| Val: 0.7680| Test: 0.7930| Eval Time: 0.4154s
Epoch 29| Loss: 0.0004| Acc: 1.0000| Train Time: 0.3133s
Train: 1.0000| Val: 0.7680| Test: 0.7930| Eval Time: 0.4044s
Epoch 30| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3143s
Train: 1.0000| Val: 0.7660| Test: 0.7940| Eval Time: 0.4214s
Epoch 31| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3483s
Train: 1.0000| Val: 0.7660| Test: 0.7960| Eval Time: 0.4114s
Epoch 32| Loss: 0.0019| Acc: 1.0000| Train Time: 0.3603s
Train: 1.0000| Val: 0.7660| Test: 0.7960| Eval Time: 0.4234s
Epoch 33| Loss: 0.0004| Acc: 1.0000| Train Time: 0.3353s
Train: 1.0000| Val: 0.7700| Test: 0.7960| Eval Time: 0.4344s
Epoch 34| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3083s
Train: 1.0000| Val: 0.7700| Test: 0.7970| Eval Time: 0.4364s
Epoch 35| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3633s
Train: 1.0000| Val: 0.7680| Test: 0.7970| Eval Time: 0.4294s
Epoch 36| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3623s
Train: 1.0000| Val: 0.7700| Test: 0.7990| Eval Time: 0.4924s
Epoch 37| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3503s
Train: 1.0000| Val: 0.7700| Test: 0.8000| Eval Time: 0.4484s

Run 02 for GatV1_K2_D2_s_ and Cora:

Epoch 01| Loss: 1.9546| Acc: 0.1643| Train Time: 0.3433s
Train: 0.9643| Val: 0.6620| Test: 0.6540| Eval Time: 0.4264s
Epoch 02| Loss: 1.4071| Acc: 0.9357| Train Time: 0.3273s
Train: 0.9857| Val: 0.7460| Test: 0.7660| Eval Time: 0.4324s
Epoch 03| Loss: 1.0197| Acc: 0.9571| Train Time: 0.3323s
Train: 0.9857| Val: 0.7740| Test: 0.7870| Eval Time: 0.3994s
Epoch 04| Loss: 0.6309| Acc: 0.9929| Train Time: 0.3293s
Train: 0.9929| Val: 0.7900| Test: 0.7900| Eval Time: 0.4104s
Epoch 05| Loss: 0.3617| Acc: 0.9857| Train Time: 0.3253s
Train: 1.0000| Val: 0.7820| Test: 0.8000| Eval Time: 0.4054s
Epoch 06| Loss: 0.2474| Acc: 1.0000| Train Time: 0.3293s
Train: 1.0000| Val: 0.7760| Test: 0.8010| Eval Time: 0.4044s
Epoch 07| Loss: 0.1338| Acc: 1.0000| Train Time: 0.3133s
Train: 1.0000| Val: 0.7700| Test: 0.7980| Eval Time: 0.4154s
Epoch 08| Loss: 0.0829| Acc: 1.0000| Train Time: 0.3303s
Train: 1.0000| Val: 0.7760| Test: 0.7960| Eval Time: 0.4224s
Epoch 09| Loss: 0.0474| Acc: 1.0000| Train Time: 0.3483s
Train: 1.0000| Val: 0.7720| Test: 0.7940| Eval Time: 0.5065s
Epoch 10| Loss: 0.0312| Acc: 1.0000| Train Time: 0.3263s
Train: 1.0000| Val: 0.7780| Test: 0.7950| Eval Time: 0.4004s
Epoch 11| Loss: 0.0176| Acc: 1.0000| Train Time: 0.3263s
Train: 1.0000| Val: 0.7740| Test: 0.7960| Eval Time: 0.3974s
Epoch 12| Loss: 0.0129| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7680| Test: 0.7970| Eval Time: 0.4144s
Epoch 13| Loss: 0.0049| Acc: 1.0000| Train Time: 0.3223s
Train: 1.0000| Val: 0.7660| Test: 0.7990| Eval Time: 0.4054s
Epoch 14| Loss: 0.0069| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7640| Test: 0.7980| Eval Time: 0.4094s
Epoch 15| Loss: 0.0053| Acc: 1.0000| Train Time: 0.3183s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4194s
Epoch 16| Loss: 0.0033| Acc: 1.0000| Train Time: 0.3083s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4064s
Epoch 17| Loss: 0.0022| Acc: 1.0000| Train Time: 0.3213s
Train: 1.0000| Val: 0.7640| Test: 0.7990| Eval Time: 0.4014s
Epoch 18| Loss: 0.0009| Acc: 1.0000| Train Time: 0.3133s
Train: 1.0000| Val: 0.7640| Test: 0.8010| Eval Time: 0.4194s
Epoch 19| Loss: 0.0008| Acc: 1.0000| Train Time: 0.3273s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4424s
Epoch 20| Loss: 0.0015| Acc: 1.0000| Train Time: 0.3603s
Train: 1.0000| Val: 0.7640| Test: 0.8010| Eval Time: 0.4144s
Epoch 21| Loss: 0.0011| Acc: 1.0000| Train Time: 0.3553s
Train: 1.0000| Val: 0.7640| Test: 0.8010| Eval Time: 0.4324s
Epoch 22| Loss: 0.0014| Acc: 1.0000| Train Time: 0.3293s
Train: 1.0000| Val: 0.7640| Test: 0.8010| Eval Time: 0.4064s
Epoch 23| Loss: 0.0013| Acc: 1.0000| Train Time: 0.3433s
Train: 1.0000| Val: 0.7620| Test: 0.8000| Eval Time: 0.4304s
Epoch 24| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3403s
Train: 1.0000| Val: 0.7640| Test: 0.7990| Eval Time: 0.4114s
Epoch 25| Loss: 0.0009| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7640| Test: 0.7990| Eval Time: 0.4034s
Epoch 26| Loss: 0.0004| Acc: 1.0000| Train Time: 0.3133s
Train: 1.0000| Val: 0.7640| Test: 0.7990| Eval Time: 0.4114s
Epoch 27| Loss: 0.0004| Acc: 1.0000| Train Time: 0.3153s
Train: 1.0000| Val: 0.7640| Test: 0.7990| Eval Time: 0.4004s
Epoch 28| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3233s
Train: 1.0000| Val: 0.7640| Test: 0.7990| Eval Time: 0.4014s
Epoch 29| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4084s
Epoch 30| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3163s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4754s
Epoch 31| Loss: 0.0000| Acc: 1.0000| Train Time: 0.3173s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4114s
Epoch 32| Loss: 0.0007| Acc: 1.0000| Train Time: 0.3623s
Train: 1.0000| Val: 0.7660| Test: 0.8000| Eval Time: 0.4104s
Epoch 33| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3243s
Train: 1.0000| Val: 0.7660| Test: 0.8000| Eval Time: 0.4124s
Epoch 34| Loss: 0.0001| Acc: 1.0000| Train Time: 0.3023s
Train: 1.0000| Val: 0.7640| Test: 0.8000| Eval Time: 0.4064s

Run 03 for GatV1_K2_D2_s_ and Cora:

Epoch 01| Loss: 1.9334| Acc: 0.1429| Train Time: 0.3273s
Train: 0.9857| Val: 0.7100| Test: 0.7080| Eval Time: 0.4024s
Epoch 02| Loss: 1.4489| Acc: 0.8714| Train Time: 0.3143s
Train: 0.9929| Val: 0.7680| Test: 0.7570| Eval Time: 0.4294s
Epoch 03| Loss: 1.0334| Acc: 0.9571| Train Time: 0.3083s
Train: 0.9929| Val: 0.7700| Test: 0.7780| Eval Time: 0.4034s
Epoch 04| Loss: 0.6709| Acc: 1.0000| Train Time: 0.3213s
Train: 0.9929| Val: 0.7740| Test: 0.8030| Eval Time: 0.4264s
Epoch 05| Loss: 0.4052| Acc: 1.0000| Train Time: 0.3363s
Train: 0.9929| Val: 0.7860| Test: 0.8020| Eval Time: 0.4124s
Epoch 06| Loss: 0.2287| Acc: 0.9929| Train Time: 0.3363s
Train: 1.0000| Val: 0.7780| Test: 0.8050| Eval Time: 0.4024s
Epoch 07| Loss: 0.1602| Acc: 0.9929| Train Time: 0.3293s
Train: 1.0000| Val: 0.7760| Test: 0.8050| Eval Time: 0.4304s
Epoch 08| Loss: 0.0909| Acc: 1.0000| Train Time: 0.3403s
Train: 1.0000| Val: 0.7760| Test: 0.8010| Eval Time: 0.4244s
Epoch 09| Loss: 0.0598| Acc: 1.0000| Train Time: 0.3193s
Train: 1.0000| Val: 0.7800| Test: 0.8040| Eval Time: 0.4094s
Epoch 10| Loss: 0.0331| Acc: 1.0000| Train Time: 0.3173s
Train: 1.0000| Val: 0.7740| Test: 0.8030| Eval Time: 0.4034s
Epoch 11| Loss: 0.0258| Acc: 1.0000| Train Time: 0.3213s
Train: 1.0000| Val: 0.7700| Test: 0.8020| Eval Time: 0.4144s
Epoch 12| Loss: 0.0141| Acc: 1.0000| Train Time: 0.3213s
Train: 1.0000| Val: 0.7700| Test: 0.7990| Eval Time: 0.4124s
Epoch 13| Loss: 0.0094| Acc: 1.0000| Train Time: 0.3323s
Train: 1.0000| Val: 0.7700| Test: 0.7990| Eval Time: 0.4084s
Epoch 14| Loss: 0.0164| Acc: 0.9929| Train Time: 0.3223s
Train: 1.0000| Val: 0.7700| Test: 0.7980| Eval Time: 0.4214s
Epoch 15| Loss: 0.0033| Acc: 1.0000| Train Time: 0.3113s
Train: 1.0000| Val: 0.7720| Test: 0.7980| Eval Time: 0.4124s
Epoch 16| Loss: 0.0044| Acc: 1.0000| Train Time: 0.3173s
Train: 1.0000| Val: 0.7720| Test: 0.8000| Eval Time: 0.4144s
Epoch 17| Loss: 0.0028| Acc: 1.0000| Train Time: 0.3273s
Train: 1.0000| Val: 0.7720| Test: 0.7970| Eval Time: 0.4494s
Epoch 18| Loss: 0.0012| Acc: 1.0000| Train Time: 0.3253s
Train: 1.0000| Val: 0.7720| Test: 0.7950| Eval Time: 0.4164s
Epoch 19| Loss: 0.0010| Acc: 1.0000| Train Time: 0.3163s
Train: 1.0000| Val: 0.7680| Test: 0.7960| Eval Time: 0.4084s
Epoch 20| Loss: 0.0035| Acc: 1.0000| Train Time: 0.3183s
Train: 1.0000| Val: 0.7660| Test: 0.7960| Eval Time: 0.4134s
Epoch 21| Loss: 0.0004| Acc: 1.0000| Train Time: 0.3343s
Train: 1.0000| Val: 0.7600| Test: 0.7960| Eval Time: 0.4174s
Epoch 22| Loss: 0.0006| Acc: 1.0000| Train Time: 0.3133s
Train: 1.0000| Val: 0.7640| Test: 0.7950| Eval Time: 0.4214s
Epoch 23| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3383s
Train: 1.0000| Val: 0.7640| Test: 0.7950| Eval Time: 0.4124s
Epoch 24| Loss: 0.0009| Acc: 1.0000| Train Time: 0.3193s
Train: 1.0000| Val: 0.7640| Test: 0.7970| Eval Time: 0.3984s
Epoch 25| Loss: 0.0012| Acc: 1.0000| Train Time: 0.3233s
Train: 1.0000| Val: 0.7640| Test: 0.7980| Eval Time: 0.4044s
Epoch 26| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3093s
Train: 1.0000| Val: 0.7640| Test: 0.7980| Eval Time: 0.4014s
Epoch 27| Loss: 0.0005| Acc: 1.0000| Train Time: 0.3163s
Train: 1.0000| Val: 0.7640| Test: 0.7960| Eval Time: 0.4034s
Epoch 28| Loss: 0.0003| Acc: 1.0000| Train Time: 0.3453s
Train: 1.0000| Val: 0.7660| Test: 0.7970| Eval Time: 0.4114s
Epoch 29| Loss: 0.0002| Acc: 1.0000| Train Time: 0.3153s
Train: 1.0000| Val: 0.7680| Test: 0.7970| Eval Time: 0.4154s
Epoch 30| Loss: 0.0032| Acc: 1.0000| Train Time: 0.3373s
